#BLOCK:          ACTUAL_PE:             PE_AVE:              ERROR:
      1      -5.4452437e+00      -5.4452437e+00       0.0000000e+00
      2      -5.4491144e+00      -5.4471791e+00       1.3684969e-03
      3      -5.4476753e+00      -5.4473445e+00       9.2227613e-04
      4      -5.4459913e+00      -5.4470062e+00       7.5119344e-04
      5      -5.4507750e+00      -5.4477600e+00       9.0314973e-04
      6      -5.4490379e+00      -5.4479729e+00       7.7733236e-04
      7      -5.4503837e+00      -5.4483173e+00       7.3864438e-04
      8      -5.4459773e+00      -5.4480248e+00       7.0184327e-04
      9      -5.4493097e+00      -5.4481676e+00       6.3821568e-04
     10      -5.4488710e+00      -5.4482379e+00       5.7825769e-04
     11      -5.4557998e+00      -5.4489254e+00       8.4021631e-04
     12      -5.4441909e+00      -5.4485308e+00       8.5784196e-04
     13      -5.4404680e+00      -5.4479106e+00       9.9101771e-04
     14      -5.4429030e+00      -5.4475529e+00       9.8266284e-04
     15      -5.4470620e+00      -5.4475202e+00       9.1769682e-04
     16      -5.4470869e+00      -5.4474931e+00       8.6074033e-04
     17      -5.4474663e+00      -5.4474915e+00       8.1010999e-04
     18      -5.4439555e+00      -5.4472951e+00       7.8856296e-04
     19      -5.4462319e+00      -5.4472391e+00       7.4904245e-04
     20      -5.4485865e+00      -5.4473065e+00       7.1461341e-04
