#BLOCK:          ACTUAL_PE:             PE_AVE:              ERROR:
      1      -5.4685461e+00      -5.4685461e+00       0.0000000e+00
      2      -5.4632851e+00      -5.4659156e+00       1.8600597e-03
      3      -5.4645733e+00      -5.4654681e+00       1.2927359e-03
      4      -5.4628386e+00      -5.4648108e+00       1.1243448e-03
      5      -5.4634713e+00      -5.4645429e+00       9.3084317e-04
      6      -5.4625795e+00      -5.4642156e+00       8.3123312e-04
      7      -5.4649180e+00      -5.4643160e+00       7.1851511e-04
      8      -5.4685895e+00      -5.4648502e+00       8.0309180e-04
      9      -5.4633906e+00      -5.4646880e+00       7.3004949e-04
     10      -5.4653226e+00      -5.4647514e+00       6.5979669e-04
     11      -5.4614669e+00      -5.4644529e+00       6.6395098e-04
     12      -5.4681847e+00      -5.4647638e+00       6.7755023e-04
     13      -5.4623957e+00      -5.4645817e+00       6.4945749e-04
     14      -5.4632614e+00      -5.4644874e+00       6.0987572e-04
     15      -5.4590642e+00      -5.4641258e+00       6.6784058e-04
     16      -5.4610030e+00      -5.4639307e+00       6.5399933e-04
     17      -5.4665076e+00      -5.4640822e+00       6.3285270e-04
     18      -5.4647034e+00      -5.4641167e+00       5.9863422e-04
     19      -5.4635235e+00      -5.4640855e+00       5.6794095e-04
     20      -5.4685646e+00      -5.4643095e+00       5.8202749e-04
