#BLOCK:          ACTUAL_PE:             PE_AVE:              ERROR:
      1      -7.5181392e+00      -7.5181392e+00       0.0000000e+00
      2      -7.5174927e+00      -7.5178160e+00       2.2854835e-04
      3      -7.5173023e+00      -7.5176447e+00       2.0678270e-04
      4      -7.5183666e+00      -7.5178252e+00       2.2017103e-04
      5      -7.5176697e+00      -7.5177941e+00       1.7831904e-04
      6      -7.5164202e+00      -7.5175651e+00       2.5646712e-04
      7      -7.5167902e+00      -7.5174544e+00       2.4254850e-04
      8      -7.5174571e+00      -7.5174547e+00       2.1223018e-04
      9      -7.5178705e+00      -7.5175009e+00       1.9361100e-04
     10      -7.5172273e+00      -7.5174736e+00       1.7617328e-04
     11      -7.5174094e+00      -7.5174677e+00       1.6025405e-04
     12      -7.5178553e+00      -7.5175000e+00       1.5011874e-04
     13      -7.5174281e+00      -7.5174945e+00       1.3867321e-04
     14      -7.5173397e+00      -7.5174834e+00       1.2920796e-04
     15      -7.5176725e+00      -7.5174961e+00       1.2120752e-04
     16      -7.5181373e+00      -7.5175361e+00       1.2007583e-04
     17      -7.5168302e+00      -7.5174946e+00       1.1997839e-04
     18      -7.5167842e+00      -7.5174551e+00       1.1962858e-04
     19      -7.5163503e+00      -7.5173970e+00       1.2667971e-04
     20      -7.5162959e+00      -7.5173419e+00       1.3176759e-04
