#BLOCK:          ACTUAL_PE:             PE_AVE:              ERROR:
      1      -7.5455907e+00      -7.5455907e+00       0.0000000e+00
      2      -7.5459293e+00      -7.5457600e+00       1.1972731e-04
      3      -7.5481564e+00      -7.5465588e+00       6.5708389e-04
      4      -7.5473967e+00      -7.5467683e+00       5.2513825e-04
      5      -7.5453406e+00      -7.5464827e+00       4.9165029e-04
      6      -7.5476528e+00      -7.5466777e+00       4.4670944e-04
      7      -7.5488976e+00      -7.5469949e+00       4.8249890e-04
      8      -7.5445978e+00      -7.5466952e+00       5.0675251e-04
      9      -7.5484213e+00      -7.5468870e+00       4.8538318e-04
     10      -7.5460968e+00      -7.5468080e+00       4.4323062e-04
     11      -7.5459236e+00      -7.5467276e+00       4.1016395e-04
     12      -7.5491507e+00      -7.5469295e+00       4.2277749e-04
     13      -7.5447636e+00      -7.5467629e+00       4.2180915e-04
     14      -7.5467129e+00      -7.5467593e+00       3.9169505e-04
     15      -7.5446121e+00      -7.5466162e+00       3.9086456e-04
     16      -7.5471956e+00      -7.5466524e+00       3.6810890e-04
     17      -7.5461581e+00      -7.5466233e+00       3.4760210e-04
     18      -7.5507171e+00      -7.5468508e+00       3.9575929e-04
     19      -7.5452230e+00      -7.5467651e+00       3.8409068e-04
     20      -7.5468320e+00      -7.5467684e+00       3.6490071e-04
