#BLOCK:           ACTUAL_P:              P_AVE:              ERROR:
      1       5.9864373e-02       5.9864373e-02       0.0000000e+00
      2       6.0349647e-02       6.0107010e-02       1.7157033e-04
      3       5.9946424e-02       6.0053482e-02       1.2244612e-04
      4       6.0554635e-02       6.0178770e-02       1.4214943e-04
      5       5.8430190e-02       5.9829054e-02       3.3282591e-04
      6       5.9896145e-02       5.9840236e-02       2.7754270e-04
      7       5.8978270e-02       5.9717098e-02       2.6379966e-04
      8       6.0590081e-02       5.9826221e-02       2.5238736e-04
      9       6.0099272e-02       5.9856560e-02       2.2616048e-04
     10       6.0769983e-02       5.9947902e-02       2.2122253e-04
     11       5.9695017e-02       5.9924913e-02       2.0230241e-04
     12       6.0916607e-02       6.0007554e-02       2.0161814e-04
     13       5.9565188e-02       5.9973526e-02       1.8895879e-04
     14       5.9293555e-02       5.9924956e-02       1.8159653e-04
     15       5.9361985e-02       5.9887425e-02       1.7332511e-04
     16       5.9793130e-02       5.9881531e-02       1.6259245e-04
     17       5.9717672e-02       5.9871893e-02       1.5331362e-04
     18       6.0602031e-02       5.9912456e-02       1.5006633e-04
     19       5.9894320e-02       5.9911501e-02       1.4217114e-04
     20       6.0314161e-02       5.9931634e-02       1.3648066e-04
