#BLOCK:           ACTUAL_P:              P_AVE:              ERROR:
      1       5.9901267e-02       5.9901267e-02       0.0000000e+00
      2       5.9901128e-02       5.9901198e-02       4.9122300e-08
      3       5.9901235e-02       5.9901210e-02       3.4307578e-08
      4       5.9902127e-02       5.9901439e-02       2.0020376e-07
      5       5.9902533e-02       5.9901658e-02       2.5286446e-07
      6       5.9900500e-02       5.9901465e-02       2.7465885e-07
      7       5.9900994e-02       5.9901398e-02       2.4353939e-07
      8       5.9901861e-02       5.9901456e-02       2.1986968e-07
      9       5.9901889e-02       5.9901504e-02       2.0063740e-07
     10       5.9901476e-02       5.9901501e-02       1.8059375e-07
     11       5.9901852e-02       5.9901533e-02       1.6696857e-07
     12       5.9901168e-02       5.9901503e-02       1.5579531e-07
     13       5.9901775e-02       5.9901523e-02       1.4521340e-07
     14       5.9901848e-02       5.9901547e-02       1.3667275e-07
     15       5.9900872e-02       5.9901502e-02       1.3475983e-07
     16       5.9900958e-02       5.9901468e-02       1.3055448e-07
     17       5.9901507e-02       5.9901470e-02       1.2289556e-07
     18       5.9901584e-02       5.9901476e-02       1.1623119e-07
     19       5.9901544e-02       5.9901480e-02       1.1016833e-07
     20       5.9901312e-02       5.9901472e-02       1.0497807e-07
