#BLOCK:           ACTUAL_P:              P_AVE:              ERROR:
      1       8.9397755e-01       8.9397755e-01       0.0000000e+00
      2       8.9570627e-01       8.9484191e-01       6.1119411e-04
      3       8.9513796e-01       8.9494059e-01       4.1535302e-04
      4       8.9433113e-01       8.9478823e-01       3.3830842e-04
      5       8.9647554e-01       8.9512569e-01       4.0540694e-04
      6       8.9586982e-01       8.9524971e-01       3.5630476e-04
      7       8.9614870e-01       8.9537814e-01       3.2773322e-04
      8       8.9420375e-01       8.9523134e-01       3.1794849e-04
      9       8.9579942e-01       8.9529446e-01       2.8881840e-04
     10       8.9567832e-01       8.9533285e-01       2.6247504e-04
     11       8.9871625e-01       8.9564043e-01       3.7807723e-04
     12       8.9359463e-01       8.9546995e-01       3.8308446e-04
     13       8.9133988e-01       8.9515225e-01       4.6713185e-04
     14       8.9294133e-01       8.9499433e-01       4.5968522e-04
     15       8.9452547e-01       8.9496307e-01       4.3010091e-04
     16       8.9434735e-01       8.9492459e-01       4.0493750e-04
     17       8.9486521e-01       8.9492109e-01       3.8113271e-04
     18       8.9307898e-01       8.9481875e-01       3.7344587e-04
     19       8.9441589e-01       8.9479755e-01       3.5439225e-04
     20       8.9555405e-01       8.9483537e-01       3.3868518e-04
