#BLOCK:           ACTUAL_P:              P_AVE:              ERROR:
      1       8.9092100e-01       8.9092100e-01       0.0000000e+00
      2       8.9119731e-01       8.9105915e-01       9.7689696e-05
      3       8.9110255e-01       8.9107362e-01       6.6188925e-05
      4       8.9122541e-01       8.9111157e-01       5.9534587e-05
      5       8.9113488e-01       8.9111623e-01       4.7809841e-05
      6       8.9125616e-01       8.9113955e-01       4.5173160e-05
      7       8.9112511e-01       8.9113749e-01       3.8766937e-05
      8       8.9089583e-01       8.9110728e-01       4.4148397e-05
      9       8.9119583e-01       8.9111712e-01       4.0324488e-05
     10       8.9111433e-01       8.9111684e-01       3.6293001e-05
     11       8.9125572e-01       8.9112947e-01       3.5121124e-05
     12       8.9090258e-01       8.9111056e-01       3.6934657e-05
     13       8.9127088e-01       8.9112289e-01       3.6093600e-05
     14       8.9120509e-01       8.9112876e-01       3.3989679e-05
     15       8.9137688e-01       8.9114530e-01       3.5521364e-05
     16       8.9130680e-01       8.9115540e-01       3.4705650e-05
     17       8.9099502e-01       8.9114596e-01       3.3922103e-05
     18       8.9114762e-01       8.9114606e-01       3.2037666e-05
     19       8.9118577e-01       8.9114815e-01       3.0419572e-05
     20       8.9088930e-01       8.9113520e-01       3.1531856e-05
