#BLOCK:           ACTUAL_P:              P_AVE:              ERROR:
      1       9.6670337e-01       9.6670337e-01       0.0000000e+00
      2       9.6599403e-01       9.6634870e-01       2.5079067e-04
      3       9.6588150e-01       9.6619297e-01       2.1005321e-04
      4       9.6652825e-01       9.6627679e-01       1.7345967e-04
      5       9.6619697e-01       9.6626082e-01       1.3950036e-04
      6       9.6530987e-01       9.6610233e-01       1.8560000e-04
      7       9.6556883e-01       9.6602612e-01       1.7403166e-04
      8       9.6617183e-01       9.6604433e-01       1.5322793e-04
      9       9.6614955e-01       9.6605602e-01       1.3664790e-04
     10       9.6589366e-01       9.6603979e-01       1.2394395e-04
     11       9.6615936e-01       9.6605066e-01       1.1315198e-04
     12       9.6644345e-01       9.6608339e-01       1.0835384e-04
     13       9.6607678e-01       9.6608288e-01       1.0002013e-04
     14       9.6623131e-01       9.6609348e-01       9.3436014e-05
     15       9.6636606e-01       9.6611165e-01       8.8956480e-05
     16       9.6664732e-01       9.6614513e-01       8.9475182e-05
     17       9.6561705e-01       9.6611407e-01       8.9441928e-05
     18       9.6573078e-01       9.6609278e-01       8.6970772e-05
     19       9.6522467e-01       9.6604709e-01       9.3628698e-05
     20       9.6522881e-01       9.6600617e-01       9.7477457e-05
