#BLOCK:           ACTUAL_P:              P_AVE:              ERROR:
      1       9.5973756e-01       9.5973756e-01       0.0000000e+00
      2       9.5971470e-01       9.5972613e-01       8.0797141e-06
      3       9.5960660e-01       9.5968629e-01       3.2976071e-05
      4       9.5965279e-01       9.5967791e-01       2.5773480e-05
      5       9.5975062e-01       9.5969245e-01       2.4378526e-05
      6       9.5963037e-01       9.5968211e-01       2.2403774e-05
      7       9.5957056e-01       9.5966617e-01       2.4216325e-05
      8       9.5979132e-01       9.5968181e-01       2.5751210e-05
      9       9.5959421e-01       9.5967208e-01       2.4660932e-05
     10       9.5971327e-01       9.5967620e-01       2.2536258e-05
     11       9.5972601e-01       9.5968073e-01       2.0937493e-05
     12       9.5955480e-01       9.5967023e-01       2.1663641e-05
     13       9.5978068e-01       9.5967873e-01       2.1598846e-05
     14       9.5967865e-01       9.5967872e-01       2.0056072e-05
     15       9.5978659e-01       9.5968591e-01       1.9966519e-05
     16       9.5965890e-01       9.5968423e-01       1.8789882e-05
     17       9.5971555e-01       9.5968607e-01       1.7774708e-05
     18       9.5947448e-01       9.5967431e-01       2.0305511e-05
     19       9.5975562e-01       9.5967859e-01       1.9682501e-05
     20       9.5966950e-01       9.5967814e-01       1.8703624e-05
