            MU:         SIGMA:                <H>:              ERROR:
            0.3            0.2           3.3144397           0.0583181
      0.3000000      0.2160000           2.4379959           0.0674949
      0.3000000      0.2320000           1.9652527           0.0350065
      0.3000000      0.2480000           1.5388165           0.0275828
      0.3000000      0.2640000           1.3078926           0.0302676
      0.3000000      0.2800000           1.1887067           0.0211349
      0.3000000      0.2960000           1.0671718           0.0250880
      0.3000000      0.3120000           0.9552067           0.0153760
      0.3000000      0.3280000           0.8881816           0.0195807
      0.3000000      0.3440000           0.8289328           0.0117328
      0.3000000      0.3600000           0.7487442           0.0143829
      0.3000000      0.3760000           0.7341256           0.0162194
      0.3000000      0.3920000           0.6409836           0.0105080
      0.3000000      0.4080000           0.6076917           0.0106963
      0.3000000      0.4240000           0.5555560           0.0087529
      0.3000000      0.4400000           0.5127733           0.0083515
      0.3000000      0.4560000           0.4650692           0.0090934
      0.3000000      0.4720000           0.4235648           0.0100148
      0.3000000      0.4880000           0.3748633           0.0084408
      0.3000000      0.5040000           0.3538977           0.0070541
      0.3000000      0.5200000           0.3087126           0.0085200
      0.3000000      0.5360000           0.2711612           0.0085205
      0.3000000      0.5520000           0.2266756           0.0064182
      0.3000000      0.5680000           0.1791590           0.0119781
      0.3000000      0.5840000           0.1484106           0.0061554
      0.3000000      0.6000000           0.1317970           0.0047417
      0.3000000      0.6160000           0.0820002           0.0080838
      0.3000000      0.6320000           0.0566131           0.0043761
      0.3000000      0.6480000           0.0318037           0.0088208
      0.3000000      0.6640000           0.0123399           0.0070710
      0.3000000      0.6800000          -0.0203597           0.0064625
      0.3000000      0.6960000          -0.0439227           0.0050949
      0.3000000      0.7120000          -0.0756581           0.0043864
      0.3000000      0.7280000          -0.1007246           0.0081583
      0.3000000      0.7440000          -0.1094507           0.0047725
      0.3000000      0.7600000          -0.1367062           0.0064808
      0.3000000      0.7760000          -0.1538645           0.0044114
      0.3000000      0.7920000          -0.1624950           0.0058483
      0.3000000      0.8080000          -0.1846229           0.0054242
      0.3000000      0.8240000          -0.1928437           0.0060858
      0.3000000      0.8400000          -0.2102082           0.0052820
      0.3000000      0.8560000          -0.2106703           0.0041345
      0.3000000      0.8720000          -0.2252219           0.0064474
      0.3000000      0.8880000          -0.2426586           0.0043053
      0.3000000      0.9040000          -0.2455469           0.0076954
      0.3000000      0.9200000          -0.2419316           0.0057947
      0.3000000      0.9360000          -0.2483383           0.0047007
      0.3000000      0.9520000          -0.2378101           0.0143144
      0.3000000      0.9680000          -0.2383484           0.0078972
      0.3000000      0.9840000          -0.2443491           0.0097119
      0.3000000      1.0000000          -0.2412703           0.0080997
      0.3200000      0.2000000           3.7639440           0.0745949
