--------------------------------------------------
SIMULATED ANNEALING
--------------------------------------------------
 BETA:            MU:         SIGMA:                <H>:                ERR:         ACC_X:     ACC_BOLTZ:
  10.0        0.62219        0.44020       -0.0617837149        0.0029726853        0.40417        1.00000
  10.0        0.62219        0.44020       -0.0617837149        0.0029726853        0.38164        0.13049
  20.0        0.63210        0.45637       -0.1287191807        0.0027395575        0.41588        1.00000
  20.0        0.60826        0.50614       -0.2391804911        0.0022050959        0.42936        1.00000
  30.0        0.63620        0.48733       -0.2224574594        0.0019283624        0.43302        0.60551
  30.0        0.65439        0.51689       -0.3015003595        0.0012623189        0.45021        1.00000
  40.0        0.65439        0.51689       -0.3015003595        0.0012623189        0.43794        0.41959
  40.0        0.65439        0.51689       -0.3015003595        0.0012623189        0.43095        0.03326
  50.0        0.66215        0.56564       -0.3600117869        0.0012312281        0.46746        1.00000
  50.0        0.69716        0.57415       -0.3941893841        0.0010472257        0.48383        1.00000
  60.0        0.72814        0.61385       -0.4256261910        0.0006998528        0.50484        1.00000
  60.0        0.70255        0.57309       -0.3982364813        0.0009137738        0.48484        0.19332
  70.0        0.70255        0.57309       -0.3982364813        0.0009137738        0.46729        0.02732
  70.0        0.65688        0.59155       -0.3684443674        0.0009407112        0.46743        0.12425
  80.0        0.68617        0.55492       -0.3712226106        0.0012131745        0.47403        1.00000
  80.0        0.68617        0.55492       -0.3712226106        0.0012131745        0.45744        0.03150
  90.0        0.68617        0.55492       -0.3712226106        0.0012131745        0.46243        0.20823
  90.0        0.73080        0.55761       -0.4025031735        0.0015876689        0.48876        1.00000
 100.0        0.71217        0.58936       -0.4116105119        0.0007268491        0.49227        1.00000
 100.0        0.74004        0.56932       -0.4132648580        0.0009538389        0.49515        1.00000
 110.0        0.73722        0.60840       -0.4294137529        0.0007958529        0.50721        1.00000
 110.0        0.73722        0.60840       -0.4294137529        0.0007958529        0.49879        0.14615
 120.0        0.73171        0.63568       -0.4279878963        0.0006564276        0.50929        0.84273
 120.0        0.73171        0.63568       -0.4279878963        0.0006564276        0.48529        0.03209
 130.0        0.73171        0.63568       -0.4279878963        0.0006564276        0.50319        0.66302
 130.0        0.73171        0.63568       -0.4279878963        0.0006564276        0.52066        0.11244
 140.0        0.73171        0.63568       -0.4279878963        0.0006564276        0.50735        0.04641
 140.0        0.75020        0.60338       -0.4336121384        0.0006899910        0.50971        1.00000
 150.0        0.75020        0.60338       -0.4336121384        0.0006899910        0.49635        0.04363
 150.0        0.79838        0.58532       -0.4358544513        0.0007630567        0.51353        1.00000
 160.0        0.79838        0.58532       -0.4358544513        0.0007630567        0.50265        0.02022
 160.0        0.82898        0.62017       -0.4396090260        0.0012169098        0.53344        1.00000
 170.0        0.86340        0.62301       -0.4293741018        0.0008672281        0.53894        0.17553
 170.0        0.86340        0.62301       -0.4293741018        0.0008672281        0.53748        0.09566
 180.0        0.86340        0.62301       -0.4293741018        0.0008672281        0.52265        0.00150
 180.0        0.86340        0.62301       -0.4293741018        0.0008672281        0.55401        0.00359
 190.0        0.86200        0.59427       -0.4269339916        0.0008241538        0.52278        0.62900
 190.0        0.86200        0.59427       -0.4269339916        0.0008241538        0.49411        0.00069
 200.0        0.86200        0.59427       -0.4269339916        0.0008241538        0.49750        0.01088
 200.0        0.86200        0.59427       -0.4269339916        0.0008241538        0.49882        0.00004
 210.0        0.86200        0.59427       -0.4269339916        0.0008241538        0.54470        0.63314
 210.0        0.86200        0.59427       -0.4269339916        0.0008241538        0.52670        0.06112
 220.0        0.86200        0.59427       -0.4269339916        0.0008241538        0.49611        0.00175
 220.0        0.86200        0.59427       -0.4269339916        0.0008241538        0.49836        0.00030
 230.0        0.81586        0.62402       -0.4437401416        0.0007888415        0.53282        1.00000
 230.0        0.82642        0.61752       -0.4431507859        0.0005585521        0.53182        0.87323
 240.0        0.77786        0.62122       -0.4434499967        0.0008965236        0.52357        1.00000
 240.0        0.77786        0.62122       -0.4434499967        0.0008965236        0.50591        0.03301
 250.0        0.77786        0.62122       -0.4434499967        0.0008965236        0.51244        0.00555
 250.0        0.73920        0.64177       -0.4285697992        0.0008350193        0.51355        0.02423
 260.0        0.76901        0.59746       -0.4378995163        0.0006657741        0.51355        1.00000
 260.0        0.76901        0.59746       -0.4378995163        0.0006657741        0.50795        0.20417
 270.0        0.76901        0.59746       -0.4378995163        0.0006657741        0.50630        0.14561
 270.0        0.76901        0.59746       -0.4378995163        0.0006657741        0.51674        0.22240
 280.0        0.76901        0.59746       -0.4378995163        0.0006657741        0.51051        0.45420
 280.0        0.76901        0.59746       -0.4378995163        0.0006657741        0.49891        0.00632
 290.0        0.76901        0.59746       -0.4378995163        0.0006657741        0.51136        0.02729
 290.0        0.76901        0.59746       -0.4378995163        0.0006657741        0.53809        0.80263
 300.0        0.77093        0.63361       -0.4402890563        0.0008368325        0.52458        1.00000
 300.0        0.77093        0.63361       -0.4402890563        0.0008368325        0.51816        0.00040
 310.0        0.77093        0.63361       -0.4402890563        0.0008368325        0.54181        0.00065
 310.0        0.77093        0.63361       -0.4402890563        0.0008368325        0.51280        0.00164
 320.0        0.77093        0.63361       -0.4402890563        0.0008368325        0.51606        0.07001
 320.0        0.78906        0.64291       -0.4390859592        0.0010041505        0.53214        0.68046
 330.0        0.78906        0.64291       -0.4390859592        0.0010041505        0.51105        0.17551
 330.0        0.78906        0.64291       -0.4390859592        0.0010041505        0.52217        0.00034
 340.0        0.78906        0.64291       -0.4390859592        0.0010041505        0.53835        0.00709
 340.0        0.82513        0.62079       -0.4428453480        0.0010156966        0.53347        1.00000
 350.0        0.78453        0.63244       -0.4419631635        0.0010426463        0.52806        0.73435
 350.0        0.78453        0.63244       -0.4419631635        0.0010426463        0.53188        0.00471
 360.0        0.78453        0.63244       -0.4419631635        0.0010426463        0.50263        0.00353
 360.0        0.79574        0.61881       -0.4432626027        0.0007857425        0.52762        1.00000
 370.0        0.79574        0.61881       -0.4432626027        0.0007857425        0.51959        0.29706
 370.0        0.79574        0.61881       -0.4432626027        0.0007857425        0.53893        0.09304
 380.0        0.79574        0.61881       -0.4432626027        0.0007857425        0.51476        0.08915
 380.0        0.79574        0.61881       -0.4432626027        0.0007857425        0.53141        0.00657
 390.0        0.79574        0.61881       -0.4432626027        0.0007857425        0.51152        0.09743
 390.0        0.79574        0.61881       -0.4432626027        0.0007857425        0.51107        0.00057
 400.0        0.79574        0.61881       -0.4432626027        0.0007857425        0.50981        0.01076
 400.0        0.79574        0.61881       -0.4432626027        0.0007857425        0.54619        0.00252
 410.0        0.79574        0.61881       -0.4432626027        0.0007857425        0.51458        0.18214
 410.0        0.79574        0.61881       -0.4432626027        0.0007857425        0.50852        0.01210
 420.0        0.79574        0.61881       -0.4432626027        0.0007857425        0.52562        0.19080
 420.0        0.79574        0.61881       -0.4432626027        0.0007857425        0.51712        0.00981
 430.0        0.79574        0.61881       -0.4432626027        0.0007857425        0.49865        0.00003
 430.0        0.79574        0.61881       -0.4432626027        0.0007857425        0.52950        0.04334
 440.0        0.79574        0.61881       -0.4432626027        0.0007857425        0.51036        0.01020
 440.0        0.79574        0.61881       -0.4432626027        0.0007857425        0.54017        0.14844
 450.0        0.79574        0.61881       -0.4432626027        0.0007857425        0.51777        0.00424
 450.0        0.81973        0.60968       -0.4413880863        0.0009395040        0.52825        0.43019
 460.0        0.81973        0.60968       -0.4413880863        0.0009395040        0.53428        0.04646
 460.0        0.81973        0.60968       -0.4413880863        0.0009395040        0.53053        0.34860
 470.0        0.80839        0.63974       -0.4419979450        0.0009427191        0.53666        1.00000
 470.0        0.79319        0.62403       -0.4423295427        0.0006648544        0.52846        1.00000
 480.0        0.78423        0.60057       -0.4407350229        0.0007513401        0.51788        0.46516
 480.0        0.78423        0.60057       -0.4407350229        0.0007513401        0.50319        0.00000
 490.0        0.76750        0.63655       -0.4393250123        0.0009843602        0.52334        0.50112
 490.0        0.79931        0.62837       -0.4433043843        0.0004252475        0.53011        1.00000
 500.0        0.79931        0.62837       -0.4433043843        0.0004252475        0.50569        0.00139
 500.0        0.79931        0.62837       -0.4433043843        0.0004252475        0.52301        0.01860
 510.0        0.79931        0.62837       -0.4433043843        0.0004252475        0.52971        0.16088
 510.0        0.79931        0.62837       -0.4433043843        0.0004252475        0.53000        0.17157
 520.0        0.79931        0.62837       -0.4433043843        0.0004252475        0.52098        0.15833
 520.0        0.79931        0.62837       -0.4433043843        0.0004252475        0.51164        0.00163
 530.0        0.82194        0.62576       -0.4424212820        0.0008316058        0.53539        0.62623
 530.0        0.79648        0.62177       -0.4438216949        0.0005979479        0.52817        1.00000
 540.0        0.79648        0.62177       -0.4438216949        0.0005979479        0.52548        0.31428
 540.0        0.79648        0.62177       -0.4438216949        0.0005979479        0.53326        0.00510
 550.0        0.79648        0.62177       -0.4438216949        0.0005979479        0.51231        0.01840
 550.0        0.79648        0.62177       -0.4438216949        0.0005979479        0.53015        0.00545
 560.0        0.79648        0.62177       -0.4438216949        0.0005979479        0.52414        0.04615
 560.0        0.79648        0.62177       -0.4438216949        0.0005979479        0.53834        0.00586
 570.0        0.79648        0.62177       -0.4438216949        0.0005979479        0.52001        0.04058
 570.0        0.79648        0.62177       -0.4438216949        0.0005979479        0.50920        0.00095
 580.0        0.83646        0.63775       -0.4342449320        0.0011804609        0.54248        0.00387
 580.0        0.80003        0.65096       -0.4369475307        0.0009616143        0.53784        1.00000
 590.0        0.78409        0.61795       -0.4429290955        0.0010067008        0.52369        1.00000
 590.0        0.78409        0.61795       -0.4429290955        0.0010067008        0.52333        0.39956
 600.0        0.78409        0.61795       -0.4429290955        0.0010067008        0.52573        0.00352
 600.0        0.78409        0.61795       -0.4429290955        0.0010067008        0.51124        0.03108
 610.0        0.79488        0.61770       -0.4442020223        0.0007827343        0.52660        1.00000
 610.0        0.79488        0.61770       -0.4442020223        0.0007827343        0.51564        0.03992
 620.0        0.79488        0.61770       -0.4442020223        0.0007827343        0.52354        0.08162
 620.0        0.79488        0.61770       -0.4442020223        0.0007827343        0.51600        0.01481
 630.0        0.79488        0.61770       -0.4442020223        0.0007827343        0.54172        0.01056
 630.0        0.79488        0.61770       -0.4442020223        0.0007827343        0.52200        0.04935
 640.0        0.79488        0.61770       -0.4442020223        0.0007827343        0.51646        0.07158
 640.0        0.82573        0.60872       -0.4422174320        0.0009825809        0.52800        0.28079
 650.0        0.81448        0.62090       -0.4426032215        0.0007432681        0.53166        1.00000
 650.0        0.80770        0.60411       -0.4419139914        0.0008016020        0.52420        0.63890
 660.0        0.80770        0.60411       -0.4419139914        0.0008016020        0.51958        0.09698
 660.0        0.80770        0.60411       -0.4419139914        0.0008016020        0.53680        0.02273
 670.0        0.80770        0.60411       -0.4419139914        0.0008016020        0.54817        0.00001
 670.0        0.80770        0.60411       -0.4419139914        0.0008016020        0.50914        0.00003
 680.0        0.80770        0.60411       -0.4419139914        0.0008016020        0.51093        0.02333
 680.0        0.79549        0.59717       -0.4423604112        0.0006800617        0.51848        1.00000
 690.0        0.80072        0.62623       -0.4425059674        0.0008709048        0.53086        1.00000
 690.0        0.80072        0.62623       -0.4425059674        0.0008709048        0.52357        0.24209
 700.0        0.80072        0.62623       -0.4425059674        0.0008709048        0.53559        0.00578
 700.0        0.80072        0.62623       -0.4425059674        0.0008709048        0.54494        0.00000
 710.0        0.80072        0.62623       -0.4425059674        0.0008709048        0.54126        0.00256
 710.0        0.80072        0.62623       -0.4425059674        0.0008709048        0.51550        0.20349
 720.0        0.80072        0.62623       -0.4425059674        0.0008709048        0.50844        0.00025
 720.0        0.80072        0.62623       -0.4425059674        0.0008709048        0.51154        0.00323
 730.0        0.80072        0.62623       -0.4425059674        0.0008709048        0.51806        0.07273
 730.0        0.80072        0.62623       -0.4425059674        0.0008709048        0.51097        0.00208
 740.0        0.80072        0.62623       -0.4425059674        0.0008709048        0.51105        0.00046
 740.0        0.80072        0.62623       -0.4425059674        0.0008709048        0.52813        0.00438
 750.0        0.79906        0.60281       -0.4435102197        0.0007756195        0.52156        1.00000
 750.0        0.79906        0.60281       -0.4435102197        0.0007756195        0.53507        0.03245
 760.0        0.79906        0.60281       -0.4435102197        0.0007756195        0.51740        0.07757
 760.0        0.79906        0.60281       -0.4435102197        0.0007756195        0.52441        0.01559
 770.0        0.79906        0.60281       -0.4435102197        0.0007756195        0.51330        0.00025
 770.0        0.79906        0.60281       -0.4435102197        0.0007756195        0.50285        0.00000
 780.0        0.79906        0.60281       -0.4435102197        0.0007756195        0.53754        0.05139
 780.0        0.79906        0.60281       -0.4435102197        0.0007756195        0.49716        0.00000
 790.0        0.79830        0.62908       -0.4443643660        0.0006924085        0.53116        1.00000
 790.0        0.79830        0.62908       -0.4443643660        0.0006924085        0.52379        0.00233
 800.0        0.79830        0.62908       -0.4443643660        0.0006924085        0.51315        0.00049
 800.0        0.79830        0.62908       -0.4443643660        0.0006924085        0.53709        0.22527
 810.0        0.79830        0.62908       -0.4443643660        0.0006924085        0.51653        0.04867
 810.0        0.79830        0.62908       -0.4443643660        0.0006924085        0.51602        0.00065
 820.0        0.79830        0.62908       -0.4443643660        0.0006924085        0.53248        0.10243
 820.0        0.79830        0.62908       -0.4443643660        0.0006924085        0.51248        0.00022
 830.0        0.79830        0.62908       -0.4443643660        0.0006924085        0.52481        0.00000
 830.0        0.79830        0.62908       -0.4443643660        0.0006924085        0.51468        0.00006
 840.0        0.79830        0.62908       -0.4443643660        0.0006924085        0.53419        0.00635
 840.0        0.79830        0.62908       -0.4443643660        0.0006924085        0.55057        0.00000
 850.0        0.79830        0.62908       -0.4443643660        0.0006924085        0.51711        0.00947
 850.0        0.79830        0.62908       -0.4443643660        0.0006924085        0.51225        0.00109
 860.0        0.79830        0.62908       -0.4443643660        0.0006924085        0.51736        0.00060
 860.0        0.79830        0.62908       -0.4443643660        0.0006924085        0.50755        0.00002
 870.0        0.79830        0.62908       -0.4443643660        0.0006924085        0.54274        0.00004
 870.0        0.79830        0.62908       -0.4443643660        0.0006924085        0.52076        0.04845
 880.0        0.79830        0.62908       -0.4443643660        0.0006924085        0.54399        0.00008
 880.0        0.79830        0.62908       -0.4443643660        0.0006924085        0.53094        0.01021
 890.0        0.79830        0.62908       -0.4443643660        0.0006924085        0.52215        0.02644
 890.0        0.79830        0.62908       -0.4443643660        0.0006924085        0.52565        0.19999
 900.0        0.79830        0.62908       -0.4443643660        0.0006924085        0.52612        0.03902
 900.0        0.79830        0.62908       -0.4443643660        0.0006924085        0.53089        0.11896
 910.0        0.79830        0.62908       -0.4443643660        0.0006924085        0.53768        0.00026
 910.0        0.79830        0.62908       -0.4443643660        0.0006924085        0.54511        0.00000
 920.0        0.79830        0.62908       -0.4443643660        0.0006924085        0.52802        0.00001
 920.0        0.79830        0.62908       -0.4443643660        0.0006924085        0.51552        0.01004
 930.0        0.79830        0.62908       -0.4443643660        0.0006924085        0.54533        0.00000
 930.0        0.78905        0.61438       -0.4431531150        0.0008231012        0.52413        0.32418
 940.0        0.78905        0.61438       -0.4431531150        0.0008231012        0.52490        0.11023
 940.0        0.78905        0.61438       -0.4431531150        0.0008231012        0.51736        0.00691
 950.0        0.78905        0.61438       -0.4431531150        0.0008231012        0.51274        0.00981
 950.0        0.78905        0.61438       -0.4431531150        0.0008231012        0.51773        0.00000
 960.0        0.82197        0.61916       -0.4418229943        0.0008060452        0.53229        0.27890
 960.0        0.82197        0.61916       -0.4418229943        0.0008060452        0.52706        0.04412
 970.0        0.82197        0.61916       -0.4418229943        0.0008060452        0.51551        0.00339
 970.0        0.78581        0.60925       -0.4447033710        0.0007276646        0.52177        1.00000
 980.0        0.78581        0.60925       -0.4447033710        0.0007276646        0.51198        0.00021
 980.0        0.78581        0.60925       -0.4447033710        0.0007276646        0.50676        0.00000
 990.0        0.78581        0.60925       -0.4447033710        0.0007276646        0.52819        0.78552
 990.0        0.78581        0.60925       -0.4447033710        0.0007276646        0.49971        0.00000
1000.0        0.78581        0.60925       -0.4447033710        0.0007276646        0.50368        0.00000
1000.0        0.78581        0.60925       -0.4447033710        0.0007276646        0.50954        0.00002
1010.0        0.78581        0.60925       -0.4447033710        0.0007276646        0.51536        0.00338
