            MU:         SIGMA:                <H>:              ERROR:
            0.6            0.4           0.1733429           0.0037583
      0.6000000      0.4100000           0.0996750           0.0051731
      0.6000000      0.4200000           0.0457686           0.0024602
      0.6000000      0.4300000          -0.0071772           0.0025182
      0.6000000      0.4400000          -0.0520078           0.0025248
      0.6000000      0.4500000          -0.0975018           0.0036209
      0.6000000      0.4600000          -0.1312030           0.0022211
      0.6000000      0.4700000          -0.1536595           0.0022716
      0.6000000      0.4800000          -0.1789609           0.0014982
      0.6000000      0.4900000          -0.2033733           0.0018288
      0.6000000      0.5000000          -0.2237789           0.0006886
      0.6000000      0.5100000          -0.2375901           0.0023109
      0.6000000      0.5200000          -0.2488419           0.0020644
      0.6000000      0.5300000          -0.2644012           0.0018744
      0.6000000      0.5400000          -0.2700578           0.0008761
      0.6000000      0.5500000          -0.2822770           0.0011012
      0.6000000      0.5600000          -0.2895576           0.0008056
      0.6000000      0.5700000          -0.2967972           0.0013442
      0.6000000      0.5800000          -0.3012433           0.0009942
      0.6000000      0.5900000          -0.3051225           0.0015551
      0.6000000      0.6000000          -0.3091285           0.0011846
      0.6000000      0.6100000          -0.3153873           0.0013181
      0.6000000      0.6200000          -0.3182318           0.0008088
      0.6000000      0.6300000          -0.3196347           0.0009455
      0.6000000      0.6400000          -0.3245939           0.0015357
      0.6000000      0.6500000          -0.3239787           0.0013867
      0.6000000      0.6600000          -0.3252803           0.0010241
      0.6000000      0.6700000          -0.3279077           0.0013041
      0.6000000      0.6800000          -0.3285824           0.0010375
      0.6000000      0.6900000          -0.3285841           0.0010681
      0.6000000      0.7000000          -0.3293053           0.0007713
      0.6000000      0.7100000          -0.3249634           0.0010967
      0.6000000      0.7200000          -0.3248469           0.0005628
      0.6000000      0.7300000          -0.3258230           0.0009389
      0.6000000      0.7400000          -0.3280691           0.0016935
      0.6000000      0.7500000          -0.3256162           0.0012392
      0.6000000      0.7600000          -0.3214914           0.0010049
      0.6000000      0.7700000          -0.3232766           0.0012786
      0.6000000      0.7800000          -0.3199034           0.0018815
      0.6000000      0.7900000          -0.3137663           0.0017914
      0.6000000      0.8000000          -0.3123119           0.0017184
      0.6100000      0.4000000           0.1752267           0.0047997
      0.6100000      0.4100000           0.1062909           0.0029920
      0.6100000      0.4200000           0.0451946           0.0037855
      0.6100000      0.4300000          -0.0090408           0.0033084
      0.6100000      0.4400000          -0.0574139           0.0033434
      0.6100000      0.4500000          -0.0990239           0.0031837
      0.6100000      0.4600000          -0.1331254           0.0035804
      0.6100000      0.4700000          -0.1682198           0.0023305
      0.6100000      0.4800000          -0.1885932           0.0025164
      0.6100000      0.4900000          -0.2112573           0.0018321
      0.6100000      0.5000000          -0.2302373           0.0016613
      0.6100000      0.5100000          -0.2492228           0.0017146
      0.6100000      0.5200000          -0.2651736           0.0015722
      0.6100000      0.5300000          -0.2746542           0.0010485
      0.6100000      0.5400000          -0.2853557           0.0005282
      0.6100000      0.5500000          -0.2943325           0.0014791
      0.6100000      0.5600000          -0.2996700           0.0018867
      0.6100000      0.5700000          -0.3077051           0.0013901
      0.6100000      0.5800000          -0.3152167           0.0012900
      0.6100000      0.5900000          -0.3200687           0.0009642
      0.6100000      0.6000000          -0.3219013           0.0010284
      0.6100000      0.6100000          -0.3274192           0.0006690
      0.6100000      0.6200000          -0.3292996           0.0011743
      0.6100000      0.6300000          -0.3315226           0.0010038
      0.6100000      0.6400000          -0.3326036           0.0011750
      0.6100000      0.6500000          -0.3328502           0.0010674
      0.6100000      0.6600000          -0.3338387           0.0006342
      0.6100000      0.6700000          -0.3362663           0.0008979
      0.6100000      0.6800000          -0.3364421           0.0012869
      0.6100000      0.6900000          -0.3369536           0.0012338
      0.6100000      0.7000000          -0.3373890           0.0009957
      0.6100000      0.7100000          -0.3370064           0.0010356
      0.6100000      0.7200000          -0.3340190           0.0009667
      0.6100000      0.7300000          -0.3310859           0.0009565
      0.6100000      0.7400000          -0.3325135           0.0011259
      0.6100000      0.7500000          -0.3304031           0.0010672
      0.6100000      0.7600000          -0.3256006           0.0019766
      0.6100000      0.7700000          -0.3248919           0.0010389
      0.6100000      0.7800000          -0.3229259           0.0008057
      0.6100000      0.7900000          -0.3204881           0.0013868
      0.6100000      0.8000000          -0.3115972           0.0016636
      0.6200000      0.4000000           0.1794014           0.0040312
      0.6200000      0.4100000           0.1070517           0.0044109
      0.6200000      0.4200000           0.0505929           0.0031456
      0.6200000      0.4300000          -0.0141865           0.0031141
      0.6200000      0.4400000          -0.0587087           0.0032897
      0.6200000      0.4500000          -0.1054361           0.0025452
      0.6200000      0.4600000          -0.1357285           0.0019473
      0.6200000      0.4700000          -0.1722279           0.0012675
      0.6200000      0.4800000          -0.1960679           0.0008060
      0.6200000      0.4900000          -0.2206289           0.0023324
      0.6200000      0.5000000          -0.2417416           0.0021994
      0.6200000      0.5100000          -0.2598217           0.0018601
      0.6200000      0.5200000          -0.2718692           0.0015371
      0.6200000      0.5300000          -0.2861852           0.0014510
      0.6200000      0.5400000          -0.2966192           0.0012141
      0.6200000      0.5500000          -0.3054998           0.0013391
      0.6200000      0.5600000          -0.3136705           0.0007768
      0.6200000      0.5700000          -0.3200062           0.0008094
      0.6200000      0.5800000          -0.3266604           0.0012216
      0.6200000      0.5900000          -0.3310708           0.0005735
      0.6200000      0.6000000          -0.3368703           0.0009326
      0.6200000      0.6100000          -0.3379496           0.0007696
      0.6200000      0.6200000          -0.3383166           0.0010034
      0.6200000      0.6300000          -0.3433059           0.0010736
      0.6200000      0.6400000          -0.3424274           0.0008119
      0.6200000      0.6500000          -0.3421646           0.0015399
      0.6200000      0.6600000          -0.3429687           0.0010111
      0.6200000      0.6700000          -0.3439736           0.0012555
      0.6200000      0.6800000          -0.3452588           0.0008986
      0.6200000      0.6900000          -0.3455096           0.0012695
      0.6200000      0.7000000          -0.3423319           0.0012781
      0.6200000      0.7100000          -0.3423301           0.0014160
      0.6200000      0.7200000          -0.3403986           0.0016857
      0.6200000      0.7300000          -0.3408354           0.0015702
      0.6200000      0.7400000          -0.3358871           0.0013571
      0.6200000      0.7500000          -0.3358796           0.0017487
      0.6200000      0.7600000          -0.3329611           0.0018938
      0.6200000      0.7700000          -0.3289853           0.0013546
      0.6200000      0.7800000          -0.3292276           0.0018334
      0.6200000      0.7900000          -0.3232331           0.0019805
      0.6200000      0.8000000          -0.3155006           0.0018034
      0.6300000      0.4000000           0.1882167           0.0036904
      0.6300000      0.4100000           0.1157087           0.0039436
      0.6300000      0.4200000           0.0430407           0.0025158
      0.6300000      0.4300000          -0.0208570           0.0031455
      0.6300000      0.4400000          -0.0686371           0.0032868
      0.6300000      0.4500000          -0.1010358           0.0031469
      0.6300000      0.4600000          -0.1454906           0.0026063
      0.6300000      0.4700000          -0.1782649           0.0023768
      0.6300000      0.4800000          -0.2047897           0.0022366
      0.6300000      0.4900000          -0.2303960           0.0015667
      0.6300000      0.5000000          -0.2465604           0.0021738
      0.6300000      0.5100000          -0.2695112           0.0012568
      0.6300000      0.5200000          -0.2865963           0.0010702
      0.6300000      0.5300000          -0.2938421           0.0011346
      0.6300000      0.5400000          -0.3063714           0.0015562
      0.6300000      0.5500000          -0.3179224           0.0007685
      0.6300000      0.5600000          -0.3257574           0.0011752
      0.6300000      0.5700000          -0.3308850           0.0008781
      0.6300000      0.5800000          -0.3379228           0.0008354
      0.6300000      0.5900000          -0.3406466           0.0006004
      0.6300000      0.6000000          -0.3451994           0.0012163
      0.6300000      0.6100000          -0.3505590           0.0005305
      0.6300000      0.6200000          -0.3509042           0.0007796
      0.6300000      0.6300000          -0.3503652           0.0007978
      0.6300000      0.6400000          -0.3524274           0.0011291
      0.6300000      0.6500000          -0.3525435           0.0010421
      0.6300000      0.6600000          -0.3522750           0.0007823
      0.6300000      0.6700000          -0.3529138           0.0009659
      0.6300000      0.6800000          -0.3520104           0.0012409
      0.6300000      0.6900000          -0.3503529           0.0011280
      0.6300000      0.7000000          -0.3509334           0.0009376
      0.6300000      0.7100000          -0.3494669           0.0016684
      0.6300000      0.7200000          -0.3469809           0.0007987
      0.6300000      0.7300000          -0.3446506           0.0007954
      0.6300000      0.7400000          -0.3419291           0.0013206
      0.6300000      0.7500000          -0.3384445           0.0018571
      0.6300000      0.7600000          -0.3359113           0.0013724
      0.6300000      0.7700000          -0.3329883           0.0018558
      0.6300000      0.7800000          -0.3267775           0.0015683
      0.6300000      0.7900000          -0.3221282           0.0022278
      0.6300000      0.8000000          -0.3215849           0.0020330
      0.6400000      0.4000000           0.1973916           0.0026004
      0.6400000      0.4100000           0.1113528           0.0054855
      0.6400000      0.4200000           0.0476046           0.0052802
      0.6400000      0.4300000          -0.0137261           0.0026512
      0.6400000      0.4400000          -0.0573999           0.0026254
      0.6400000      0.4500000          -0.1114813           0.0029407
      0.6400000      0.4600000          -0.1480184           0.0026880
      0.6400000      0.4700000          -0.1810512           0.0026460
      0.6400000      0.4800000          -0.2126669           0.0014865
      0.6400000      0.4900000          -0.2362950           0.0020212
      0.6400000      0.5000000          -0.2616144           0.0019508
      0.6400000      0.5100000          -0.2764155           0.0013043
      0.6400000      0.5200000          -0.2925446           0.0015773
      0.6400000      0.5300000          -0.3065328           0.0012293
      0.6400000      0.5400000          -0.3166837           0.0015502
      0.6400000      0.5500000          -0.3277788           0.0010341
      0.6400000      0.5600000          -0.3351288           0.0012807
      0.6400000      0.5700000          -0.3406856           0.0011015
      0.6400000      0.5800000          -0.3470955           0.0011148
      0.6400000      0.5900000          -0.3522288           0.0010575
      0.6400000      0.6000000          -0.3554700           0.0010848
      0.6400000      0.6100000          -0.3574423           0.0010694
      0.6400000      0.6200000          -0.3591616           0.0008069
      0.6400000      0.6300000          -0.3623501           0.0007031
      0.6400000      0.6400000          -0.3625560           0.0007614
      0.6400000      0.6500000          -0.3620683           0.0009138
      0.6400000      0.6600000          -0.3636350           0.0005381
      0.6400000      0.6700000          -0.3601443           0.0009732
      0.6400000      0.6800000          -0.3598652           0.0009494
      0.6400000      0.6900000          -0.3567466           0.0011584
      0.6400000      0.7000000          -0.3577555           0.0011543
      0.6400000      0.7100000          -0.3551928           0.0013516
      0.6400000      0.7200000          -0.3539015           0.0011319
      0.6400000      0.7300000          -0.3515102           0.0015506
      0.6400000      0.7400000          -0.3469744           0.0019842
      0.6400000      0.7500000          -0.3411150           0.0017498
      0.6400000      0.7600000          -0.3389959           0.0020159
      0.6400000      0.7700000          -0.3358663           0.0017748
      0.6400000      0.7800000          -0.3267257           0.0019452
      0.6400000      0.7900000          -0.3256147           0.0015792
      0.6400000      0.8000000          -0.3240788           0.0018657
      0.6500000      0.4000000           0.1988195           0.0052312
      0.6500000      0.4100000           0.1316956           0.0041103
      0.6500000      0.4200000           0.0520624           0.0044673
      0.6500000      0.4300000          -0.0155322           0.0035040
      0.6500000      0.4400000          -0.0644519           0.0033901
      0.6500000      0.4500000          -0.1103872           0.0023271
      0.6500000      0.4600000          -0.1473711           0.0019270
      0.6500000      0.4700000          -0.1810746           0.0025549
      0.6500000      0.4800000          -0.2195723           0.0021735
      0.6500000      0.4900000          -0.2436247           0.0011522
      0.6500000      0.5000000          -0.2627751           0.0018575
      0.6500000      0.5100000          -0.2855243           0.0015556
      0.6500000      0.5200000          -0.3001927           0.0015849
      0.6500000      0.5300000          -0.3158085           0.0015023
      0.6500000      0.5400000          -0.3283087           0.0022505
      0.6500000      0.5500000          -0.3359786           0.0013569
      0.6500000      0.5600000          -0.3467594           0.0008981
      0.6500000      0.5700000          -0.3510769           0.0007382
      0.6500000      0.5800000          -0.3560371           0.0006697
      0.6500000      0.5900000          -0.3627899           0.0009482
      0.6500000      0.6000000          -0.3665697           0.0009295
      0.6500000      0.6100000          -0.3688582           0.0008379
      0.6500000      0.6200000          -0.3677890           0.0011580
      0.6500000      0.6300000          -0.3716555           0.0007959
      0.6500000      0.6400000          -0.3714406           0.0006917
      0.6500000      0.6500000          -0.3701596           0.0009997
      0.6500000      0.6600000          -0.3710089           0.0009699
      0.6500000      0.6700000          -0.3696658           0.0010545
      0.6500000      0.6800000          -0.3692072           0.0008749
      0.6500000      0.6900000          -0.3651524           0.0011710
      0.6500000      0.7000000          -0.3608230           0.0012933
      0.6500000      0.7100000          -0.3636218           0.0011837
      0.6500000      0.7200000          -0.3579989           0.0014404
      0.6500000      0.7300000          -0.3548381           0.0010299
      0.6500000      0.7400000          -0.3534124           0.0006215
      0.6500000      0.7500000          -0.3457895           0.0018984
      0.6500000      0.7600000          -0.3426392           0.0010117
      0.6500000      0.7700000          -0.3384707           0.0017042
      0.6500000      0.7800000          -0.3302128           0.0019534
      0.6500000      0.7900000          -0.3280846           0.0021588
      0.6500000      0.8000000          -0.3218978           0.0017673
      0.6600000      0.4000000           0.2073105           0.0037317
      0.6600000      0.4100000           0.1265607           0.0037010
      0.6600000      0.4200000           0.0597113           0.0025735
      0.6600000      0.4300000          -0.0138519           0.0029938
      0.6600000      0.4400000          -0.0649898           0.0028638
      0.6600000      0.4500000          -0.1070061           0.0023759
      0.6600000      0.4600000          -0.1538816           0.0025881
      0.6600000      0.4700000          -0.1954667           0.0015608
      0.6600000      0.4800000          -0.2213895           0.0014625
      0.6600000      0.4900000          -0.2490373           0.0026374
      0.6600000      0.5000000          -0.2705603           0.0016150
      0.6600000      0.5100000          -0.2910543           0.0013910
      0.6600000      0.5200000          -0.3081407           0.0017564
      0.6600000      0.5300000          -0.3246041           0.0010915
      0.6600000      0.5400000          -0.3349454           0.0014458
      0.6600000      0.5500000          -0.3445870           0.0017268
      0.6600000      0.5600000          -0.3532257           0.0013193
      0.6600000      0.5700000          -0.3603682           0.0008750
      0.6600000      0.5800000          -0.3676716           0.0011768
      0.6600000      0.5900000          -0.3696741           0.0008107
      0.6600000      0.6000000          -0.3759048           0.0008566
      0.6600000      0.6100000          -0.3782761           0.0009992
      0.6600000      0.6200000          -0.3785187           0.0012434
      0.6600000      0.6300000          -0.3807837           0.0005750
      0.6600000      0.6400000          -0.3788316           0.0009036
      0.6600000      0.6500000          -0.3784102           0.0011222
      0.6600000      0.6600000          -0.3763685           0.0006771
      0.6600000      0.6700000          -0.3783568           0.0009883
      0.6600000      0.6800000          -0.3759803           0.0006775
      0.6600000      0.6900000          -0.3707440           0.0011539
      0.6600000      0.7000000          -0.3694257           0.0015705
      0.6600000      0.7100000          -0.3655388           0.0011605
