            MU:         SIGMA:                <H>:              ERROR:
            0.3            0.2           3.3372002           0.0202262
      0.3000000      0.2160000           2.5052145           0.0188199
      0.3000000      0.2320000           1.9428305           0.0080110
      0.3000000      0.2480000           1.6027294           0.0099932
      0.3000000      0.2640000           1.3638393           0.0059945
      0.3000000      0.2800000           1.1803352           0.0064824
      0.3000000      0.2960000           1.0473570           0.0087411
      0.3000000      0.3120000           0.9765463           0.0053555
      0.3000000      0.3280000           0.8996760           0.0054236
      0.3000000      0.3440000           0.8248466           0.0054500
      0.3000000      0.3600000           0.7619793           0.0032109
      0.3000000      0.3760000           0.7128951           0.0040934
      0.3000000      0.3920000           0.6593222           0.0029807
      0.3000000      0.4080000           0.6046414           0.0043391
      0.3000000      0.4240000           0.5602131           0.0033945
      0.3000000      0.4400000           0.5088696           0.0022616
      0.3000000      0.4560000           0.4676320           0.0032045
      0.3000000      0.4720000           0.4207262           0.0039396
      0.3000000      0.4880000           0.3866021           0.0022579
      0.3000000      0.5040000           0.3415947           0.0021890
      0.3000000      0.5200000           0.3010136           0.0031775
      0.3000000      0.5360000           0.2608158           0.0021031
      0.3000000      0.5520000           0.2285440           0.0022917
      0.3000000      0.5680000           0.1883680           0.0031301
      0.3000000      0.5840000           0.1564942           0.0032082
      0.3000000      0.6000000           0.1217915           0.0032835
      0.3000000      0.6160000           0.0886654           0.0029489
      0.3000000      0.6320000           0.0574014           0.0019986
      0.3000000      0.6480000           0.0301944           0.0013975
      0.3000000      0.6640000           0.0061526           0.0021201
      0.3000000      0.6800000          -0.0245756           0.0015974
      0.3000000      0.6960000          -0.0451058           0.0015608
      0.3000000      0.7120000          -0.0676962           0.0027017
      0.3000000      0.7280000          -0.0920695           0.0022127
      0.3000000      0.7440000          -0.1114402           0.0022470
      0.3000000      0.7600000          -0.1323368           0.0019538
      0.3000000      0.7760000          -0.1510565           0.0023082
      0.3000000      0.7920000          -0.1733571           0.0015004
      0.3000000      0.8080000          -0.1821713           0.0015596
      0.3000000      0.8240000          -0.1984637           0.0018253
      0.3000000      0.8400000          -0.2117792           0.0020989
      0.3000000      0.8560000          -0.2194399           0.0019234
      0.3000000      0.8720000          -0.2298834           0.0027318
      0.3000000      0.8880000          -0.2418978           0.0025524
      0.3000000      0.9040000          -0.2420250           0.0019922
      0.3000000      0.9200000          -0.2470309           0.0029333
      0.3000000      0.9360000          -0.2549753           0.0014654
      0.3000000      0.9520000          -0.2516811           0.0026596
      0.3000000      0.9680000          -0.2520953           0.0033766
      0.3000000      0.9840000          -0.2539069           0.0019958
      0.3000000      1.0000000          -0.2437839           0.0025353
      0.3200000      0.2000000           3.7420463           0.0246405
      0.3200000      0.2160000           2.7365417           0.0177122
      0.3200000      0.2320000           2.0892573           0.0119750
      0.3200000      0.2480000           1.6610775           0.0109184
      0.3200000      0.2640000           1.3626605           0.0118824
      0.3200000      0.2800000           1.1414862           0.0064898
      0.3200000      0.2960000           1.0054376           0.0064516
      0.3200000      0.3120000           0.8898674           0.0061399
      0.3200000      0.3280000           0.8089957           0.0039471
      0.3200000      0.3440000           0.7483387           0.0068329
      0.3200000      0.3600000           0.6901525           0.0047738
      0.3200000      0.3760000           0.6355768           0.0035588
      0.3200000      0.3920000           0.5836187           0.0029496
      0.3200000      0.4080000           0.5427258           0.0033430
      0.3200000      0.4240000           0.4973390           0.0032124
      0.3200000      0.4400000           0.4487427           0.0025192
      0.3200000      0.4560000           0.4203680           0.0029652
      0.3200000      0.4720000           0.3691127           0.0034205
      0.3200000      0.4880000           0.3343127           0.0031864
      0.3200000      0.5040000           0.3003183           0.0034059
      0.3200000      0.5200000           0.2565106           0.0021638
      0.3200000      0.5360000           0.2251273           0.0032144
      0.3200000      0.5520000           0.1964953           0.0021740
      0.3200000      0.5680000           0.1594910           0.0022100
      0.3200000      0.5840000           0.1268738           0.0026663
      0.3200000      0.6000000           0.0953761           0.0022214
      0.3200000      0.6160000           0.0685148           0.0020703
      0.3200000      0.6320000           0.0333514           0.0015144
      0.3200000      0.6480000           0.0081859           0.0019428
      0.3200000      0.6640000          -0.0141486           0.0024925
      0.3200000      0.6800000          -0.0413369           0.0026747
      0.3200000      0.6960000          -0.0677759           0.0015246
      0.3200000      0.7120000          -0.0848739           0.0020863
      0.3200000      0.7280000          -0.1041564           0.0019918
      0.3200000      0.7440000          -0.1264847           0.0017794
      0.3200000      0.7600000          -0.1481865           0.0012577
      0.3200000      0.7760000          -0.1639803           0.0012044
      0.3200000      0.7920000          -0.1775279           0.0010956
      0.3200000      0.8080000          -0.1934123           0.0018736
      0.3200000      0.8240000          -0.2080549           0.0016928
      0.3200000      0.8400000          -0.2132837           0.0012327
      0.3200000      0.8560000          -0.2323990           0.0019933
      0.3200000      0.8720000          -0.2362844           0.0019478
      0.3200000      0.8880000          -0.2432902           0.0021194
      0.3200000      0.9040000          -0.2468928           0.0021546
      0.3200000      0.9200000          -0.2526890           0.0020731
      0.3200000      0.9360000          -0.2527127           0.0021093
      0.3200000      0.9520000          -0.2494000           0.0015219
      0.3200000      0.9680000          -0.2454181           0.0019654
      0.3200000      0.9840000          -0.2481005           0.0019214
      0.3200000      1.0000000          -0.2385447           0.0030674
      0.3400000      0.2000000           4.0432219           0.0326408
      0.3400000      0.2160000           2.9905120           0.0243400
      0.3400000      0.2320000           2.2766597           0.0211035
      0.3400000      0.2480000           1.7132834           0.0095882
      0.3400000      0.2640000           1.3810879           0.0100749
      0.3400000      0.2800000           1.1425934           0.0044053
      0.3400000      0.2960000           0.9539974           0.0057043
      0.3400000      0.3120000           0.8390399           0.0056803
      0.3400000      0.3280000           0.7414033           0.0049945
      0.3400000      0.3440000           0.6767983           0.0045349
      0.3400000      0.3600000           0.6133313           0.0033153
      0.3400000      0.3760000           0.5587899           0.0038037
      0.3400000      0.3920000           0.5155653           0.0020839
      0.3400000      0.4080000           0.4779666           0.0037604
      0.3400000      0.4240000           0.4328998           0.0044766
      0.3400000      0.4400000           0.3997939           0.0030222
      0.3400000      0.4560000           0.3637913           0.0031071
      0.3400000      0.4720000           0.3244040           0.0030606
      0.3400000      0.4880000           0.2844566           0.0028900
      0.3400000      0.5040000           0.2562625           0.0022068
      0.3400000      0.5200000           0.2199545           0.0018539
      0.3400000      0.5360000           0.1885991           0.0026541
      0.3400000      0.5520000           0.1560018           0.0026516
      0.3400000      0.5680000           0.1256851           0.0018612
      0.3400000      0.5840000           0.0966137           0.0025690
      0.3400000      0.6000000           0.0690157           0.0025425
      0.3400000      0.6160000           0.0375189           0.0036727
      0.3400000      0.6320000           0.0139985           0.0023657
      0.3400000      0.6480000          -0.0131931           0.0019410
      0.3400000      0.6640000          -0.0374460           0.0017335
      0.3400000      0.6800000          -0.0588334           0.0018515
      0.3400000      0.6960000          -0.0803292           0.0022504
      0.3400000      0.7120000          -0.1054798           0.0015131
      0.3400000      0.7280000          -0.1214801           0.0012141
      0.3400000      0.7440000          -0.1395404           0.0017314
      0.3400000      0.7600000          -0.1578716           0.0017746
      0.3400000      0.7760000          -0.1762590           0.0011357
      0.3400000      0.7920000          -0.1894483           0.0015330
      0.3400000      0.8080000          -0.2049135           0.0017451
      0.3400000      0.8240000          -0.2148486           0.0015803
      0.3400000      0.8400000          -0.2238437           0.0020259
      0.3400000      0.8560000          -0.2363088           0.0015215
      0.3400000      0.8720000          -0.2420528           0.0014560
      0.3400000      0.8880000          -0.2456365           0.0019799
      0.3400000      0.9040000          -0.2495381           0.0017144
      0.3400000      0.9200000          -0.2505131           0.0015073
      0.3400000      0.9360000          -0.2531539           0.0025015
      0.3400000      0.9520000          -0.2540518           0.0037745
      0.3400000      0.9680000          -0.2493817           0.0021654
      0.3400000      0.9840000          -0.2444726           0.0025833
      0.3400000      1.0000000          -0.2388027           0.0029307
      0.3600000      0.2000000           4.3930897           0.0327757
      0.3600000      0.2160000           3.3172735           0.0312072
      0.3600000      0.2320000           2.4634199           0.0218205
      0.3600000      0.2480000           1.8846235           0.0213625
      0.3600000      0.2640000           1.4495560           0.0072130
      0.3600000      0.2800000           1.1712574           0.0084466
      0.3600000      0.2960000           0.9603468           0.0068063
      0.3600000      0.3120000           0.8085747           0.0043836
      0.3600000      0.3280000           0.7017010           0.0049144
      0.3600000      0.3440000           0.6213053           0.0050616
      0.3600000      0.3600000           0.5547980           0.0025476
      0.3600000      0.3760000           0.5076650           0.0033164
      0.3600000      0.3920000           0.4537209           0.0025499
      0.3600000      0.4080000           0.4116614           0.0030465
      0.3600000      0.4240000           0.3789534           0.0034281
      0.3600000      0.4400000           0.3366351           0.0026717
      0.3600000      0.4560000           0.3082468           0.0026834
      0.3600000      0.4720000           0.2736718           0.0022482
      0.3600000      0.4880000           0.2421782           0.0029067
      0.3600000      0.5040000           0.2105497           0.0030733
      0.3600000      0.5200000           0.1810916           0.0015280
      0.3600000      0.5360000           0.1497103           0.0024568
      0.3600000      0.5520000           0.1196194           0.0026620
      0.3600000      0.5680000           0.0907231           0.0025989
      0.3600000      0.5840000           0.0597009           0.0016792
      0.3600000      0.6000000           0.0415123           0.0020459
      0.3600000      0.6160000           0.0119293           0.0032703
      0.3600000      0.6320000          -0.0129817           0.0020533
      0.3600000      0.6480000          -0.0317533           0.0019365
      0.3600000      0.6640000          -0.0577837           0.0025779
      0.3600000      0.6800000          -0.0817724           0.0018128
      0.3600000      0.6960000          -0.0982960           0.0015956
      0.3600000      0.7120000          -0.1183790           0.0014087
      0.3600000      0.7280000          -0.1357266           0.0018972
      0.3600000      0.7440000          -0.1585167           0.0018839
      0.3600000      0.7600000          -0.1725383           0.0021448
      0.3600000      0.7760000          -0.1860572           0.0012743
      0.3600000      0.7920000          -0.2019978           0.0018405
      0.3600000      0.8080000          -0.2099030           0.0017319
      0.3600000      0.8240000          -0.2234574           0.0016791
      0.3600000      0.8400000          -0.2327932           0.0012297
      0.3600000      0.8560000          -0.2406124           0.0010195
      0.3600000      0.8720000          -0.2481365           0.0022028
      0.3600000      0.8880000          -0.2521415           0.0012164
      0.3600000      0.9040000          -0.2555555           0.0013691
      0.3600000      0.9200000          -0.2557346           0.0031511
      0.3600000      0.9360000          -0.2555776           0.0013089
      0.3600000      0.9520000          -0.2555054           0.0033180
      0.3600000      0.9680000          -0.2533729           0.0024482
      0.3600000      0.9840000          -0.2422143           0.0028403
      0.3600000      1.0000000          -0.2324306           0.0023805
      0.3800000      0.2000000           4.7083364           0.0324906
      0.3800000      0.2160000           3.5516235           0.0255918
      0.3800000      0.2320000           2.6898673           0.0159304
      0.3800000      0.2480000           2.0658659           0.0114538
      0.3800000      0.2640000           1.5639459           0.0089040
      0.3800000      0.2800000           1.2272376           0.0121592
      0.3800000      0.2960000           0.9844137           0.0047477
      0.3800000      0.3120000           0.8076700           0.0081359
      0.3800000      0.3280000           0.6793114           0.0062697
      0.3800000      0.3440000           0.5792071           0.0044449
      0.3800000      0.3600000           0.5013586           0.0040520
      0.3800000      0.3760000           0.4434146           0.0023800
      0.3800000      0.3920000           0.3986674           0.0042976
      0.3800000      0.4080000           0.3540260           0.0030172
      0.3800000      0.4240000           0.3132845           0.0029532
      0.3800000      0.4400000           0.2819959           0.0031041
      0.3800000      0.4560000           0.2533695           0.0021680
      0.3800000      0.4720000           0.2187480           0.0020809
      0.3800000      0.4880000           0.1914031           0.0025798
      0.3800000      0.5040000           0.1668858           0.0022375
      0.3800000      0.5200000           0.1351809           0.0022721
      0.3800000      0.5360000           0.1103834           0.0020045
      0.3800000      0.5520000           0.0818845           0.0020055
      0.3800000      0.5680000           0.0568266           0.0024628
      0.3800000      0.5840000           0.0316115           0.0014879
      0.3800000      0.6000000           0.0027878           0.0012341
      0.3800000      0.6160000          -0.0197512           0.0025387
      0.3800000      0.6320000          -0.0404040           0.0012037
      0.3800000      0.6480000          -0.0591284           0.0016691
      0.3800000      0.6640000          -0.0817115           0.0020094
      0.3800000      0.6800000          -0.1020269           0.0016500
      0.3800000      0.6960000          -0.1179380           0.0019976
