--------------------------------------------------
EXPECTED VALUES HAMILTONIAN
--------------------------------------------------
#BLOCK:     <H>_CUMUL:       <H>_ERR:
      1     -0.4440739      0.0000000
      2     -0.4443617      0.0002878
      3     -0.4443909      0.0001687
      4     -0.4444316      0.0001261
      5     -0.4443896      0.0001063
      6     -0.4444540      0.0001080
      7     -0.4444198      0.0000975
      8     -0.4444105      0.0000849
      9     -0.4443820      0.0000801
     10     -0.4443742      0.0000721
     11     -0.4443814      0.0000656
     12     -0.4443679      0.0000614
     13     -0.4443867      0.0000595
     14     -0.4443807      0.0000554
     15     -0.4443742      0.0000520
     16     -0.4443927      0.0000520
     17     -0.4443834      0.0000497
     18     -0.4443907      0.0000475
     19     -0.4443731      0.0000482
     20     -0.4443577      0.0000483
     21     -0.4443522      0.0000462
     22     -0.4443509      0.0000441
     23     -0.4443487      0.0000422
     24     -0.4443530      0.0000406
     25     -0.4443513      0.0000390
     26     -0.4443477      0.0000377
     27     -0.4443443      0.0000364
     28     -0.4443418      0.0000352
     29     -0.4443484      0.0000346
     30     -0.4443409      0.0000342
     31     -0.4443321      0.0000342
     32     -0.4443377      0.0000336
     33     -0.4443406      0.0000327
     34     -0.4443277      0.0000343
     35     -0.4443102      0.0000376
     36     -0.4443039      0.0000371
     37     -0.4443115      0.0000368
     38     -0.4443075      0.0000361
     39     -0.4442947      0.0000374
     40     -0.4443043      0.0000377
     41     -0.4443083      0.0000370
     42     -0.4443092      0.0000361
     43     -0.4443100      0.0000352
     44     -0.4443113      0.0000345
     45     -0.4443272      0.0000372
     46     -0.4443329      0.0000368
     47     -0.4443350      0.0000361
     48     -0.4443317      0.0000355
     49     -0.4443381      0.0000354
     50     -0.4443296      0.0000357
     51     -0.4443273      0.0000350
     52     -0.4443286      0.0000344
     53     -0.4443304      0.0000338
     54     -0.4443320      0.0000332
     55     -0.4443369      0.0000329
     56     -0.4443359      0.0000324
     57     -0.4443416      0.0000323
     58     -0.4443430      0.0000318
     59     -0.4443451      0.0000313
     60     -0.4443457      0.0000308
     61     -0.4443454      0.0000303
     62     -0.4443466      0.0000298
     63     -0.4443451      0.0000294
     64     -0.4443458      0.0000289
     65     -0.4443518      0.0000291
     66     -0.4443543      0.0000288
     67     -0.4443479      0.0000290
     68     -0.4443479      0.0000286
     69     -0.4443449      0.0000284
     70     -0.4443427      0.0000280
     71     -0.4443444      0.0000277
     72     -0.4443425      0.0000274
     73     -0.4443424      0.0000270
     74     -0.4443470      0.0000270
     75     -0.4443452      0.0000267
     76     -0.4443426      0.0000265
     77     -0.4443457      0.0000263
     78     -0.4443410      0.0000264
     79     -0.4443356      0.0000266
     80     -0.4443367      0.0000263
     81     -0.4443372      0.0000260
     82     -0.4443363      0.0000257
     83     -0.4443353      0.0000254
     84     -0.4443335      0.0000251
     85     -0.4443357      0.0000249
     86     -0.4443344      0.0000247
     87     -0.4443339      0.0000244
     88     -0.4443342      0.0000241
     89     -0.4443343      0.0000239
     90     -0.4443363      0.0000237
     91     -0.4443363      0.0000234
     92     -0.4443414      0.0000237
     93     -0.4443419      0.0000235
     94     -0.4443454      0.0000235
     95     -0.4443449      0.0000232
     96     -0.4443472      0.0000231
     97     -0.4443438      0.0000231
     98     -0.4443444      0.0000229
     99     -0.4443430      0.0000227
    100     -0.4443402      0.0000226
