--------------------------------------------------
SIMULATED ANNEALING
--------------------------------------------------
 BETA:            MU:         SIGMA:                <H>:                ERR:         ACC_X:     ACC_BOLTZ:
  10.0        0.60887        0.41608        0.0658880418        0.0027047078        0.38571        1.00000
  10.0        0.60887        0.41608        0.0658880418        0.0027047078        0.37697        0.38108
  10.0        0.61284        0.42255        0.0348022762        0.0041330714        0.39074        1.00000
  10.0        0.60330        0.44246       -0.0662369026        0.0034036650        0.40158        1.00000
  10.0        0.61448        0.43493       -0.0341961697        0.0035536937        0.39951        0.72585
  60.0        0.62176        0.44676       -0.0886865337        0.0030293640        0.40779        1.00000
  60.0        0.60726        0.45029       -0.0994775835        0.0033518942        0.40650        1.00000
  60.0        0.60726        0.45029       -0.0994775835        0.0033518942        0.39746        0.02981
  60.0        0.61036        0.46980       -0.1619335820        0.0021706544        0.41749        1.00000
  60.0        0.62437        0.47320       -0.1842246385        0.0023642560        0.42283        1.00000
 110.0        0.63676        0.48908       -0.2351754165        0.0019661003        0.43408        1.00000
 110.0        0.63676        0.48908       -0.2351754165        0.0019661003        0.42333        0.00419
 110.0        0.63676        0.48908       -0.2351754165        0.0019661003        0.42486        0.00280
 110.0        0.61850        0.49646       -0.2346604381        0.0019577082        0.42991        0.94493
 110.0        0.61850        0.49646       -0.2346604381        0.0019577082        0.42839        0.05647
 160.0        0.61850        0.49646       -0.2346604381        0.0019577082        0.42328        0.01002
 160.0        0.60481        0.50246       -0.2341137451        0.0022604296        0.42611        0.91625
 160.0        0.62266        0.50354       -0.2495179220        0.0019961875        0.43491        1.00000
 160.0        0.61521        0.51624       -0.2649425097        0.0012597601        0.43479        1.00000
 160.0        0.61521        0.51624       -0.2649425097        0.0012597601        0.43728        0.66031
 210.0        0.61408        0.53187       -0.2815765824        0.0015638671        0.43755        1.00000
 210.0        0.60176        0.54760       -0.2802383105        0.0012921920        0.43384        0.75500
 210.0        0.59955        0.55851       -0.2894324888        0.0016641492        0.43198        1.00000
 210.0        0.59955        0.55851       -0.2894324888        0.0016641492        0.42090        0.00500
 210.0        0.59955        0.55851       -0.2894324888        0.0016641492        0.43094        0.10305
 260.0        0.60644        0.57842       -0.3088298779        0.0014546221        0.43677        1.00000
 260.0        0.60285        0.59742       -0.3129182331        0.0008843901        0.43553        1.00000
 260.0        0.61025        0.58450       -0.3157751514        0.0012906225        0.44037        1.00000
 260.0        0.62618        0.56518       -0.3255050936        0.0008982122        0.44872        1.00000
 260.0        0.64545        0.55795       -0.3383562726        0.0009494634        0.45803        1.00000
 310.0        0.65854        0.54878       -0.3433880922        0.0012029294        0.46178        1.00000
 310.0        0.67078        0.56273       -0.3664100916        0.0012343738        0.46972        1.00000
 310.0        0.68454        0.56386       -0.3779735809        0.0011345551        0.47623        1.00000
 310.0        0.69237        0.56300       -0.3849889269        0.0011379255        0.47820        1.00000
 310.0        0.71185        0.55348       -0.3889144450        0.0010519018        0.48066        1.00000
 360.0        0.72248        0.56454       -0.4015060677        0.0010625400        0.48923        1.00000
 360.0        0.72248        0.56454       -0.4015060677        0.0010625400        0.48471        0.05372
 360.0        0.72248        0.56454       -0.4015060677        0.0010625400        0.48180        0.00454
 360.0        0.72248        0.56454       -0.4015060677        0.0010625400        0.48080        0.00405
 360.0        0.73994        0.55333       -0.4001630025        0.0010468504        0.48797        0.61662
 410.0        0.74002        0.56966       -0.4145244211        0.0010147835        0.49604        1.00000
 410.0        0.75136        0.57319       -0.4229275499        0.0007722338        0.49891        1.00000
 410.0        0.75136        0.57319       -0.4229275499        0.0007722338        0.49077        0.00066
 410.0        0.75136        0.57319       -0.4229275499        0.0007722338        0.49495        0.00810
 410.0        0.75136        0.57319       -0.4229275499        0.0007722338        0.49868        0.48491
 460.0        0.75558        0.57059       -0.4227686319        0.0008631639        0.49902        0.92951
 460.0        0.75558        0.57059       -0.4227686319        0.0008631639        0.49541        0.03188
 460.0        0.75558        0.57059       -0.4227686319        0.0008631639        0.49256        0.00055
 460.0        0.73736        0.58463       -0.4235396687        0.0008581595        0.50051        1.00000
 460.0        0.72190        0.59284       -0.4184147758        0.0006656034        0.49780        0.09466
 510.0        0.73382        0.57512       -0.4161788411        0.0008840111        0.49658        0.31971
 510.0        0.73382        0.57512       -0.4161788411        0.0008840111        0.49386        0.17211
 510.0        0.73382        0.57512       -0.4161788411        0.0008840111        0.49287        0.06179
 510.0        0.72541        0.59140       -0.4200249807        0.0008559861        0.49835        1.00000
 510.0        0.72541        0.59140       -0.4200249807        0.0008559861        0.49641        0.19271
 560.0        0.72541        0.59140       -0.4200249807        0.0008559861        0.49196        0.00137
 560.0        0.72541        0.59140       -0.4200249807        0.0008559861        0.49678        0.18496
 560.0        0.74073        0.61070       -0.4318109136        0.0008017013        0.50839        1.00000
 560.0        0.74150        0.62515       -0.4322504173        0.0006385347        0.51199        1.00000
 560.0        0.74150        0.62515       -0.4322504173        0.0006385347        0.51042        0.00789
 610.0        0.75106        0.64451       -0.4318583690        0.0009150314        0.51885        0.78730
 610.0        0.75106        0.64451       -0.4318583690        0.0009150314        0.51357        0.00692
 610.0        0.75106        0.64451       -0.4318583690        0.0009150314        0.51536        0.12569
 610.0        0.75831        0.64823       -0.4323299303        0.0009898574        0.52244        1.00000
 610.0        0.74185        0.63497       -0.4316535641        0.0008349291        0.51405        0.66194
 660.0        0.74185        0.63497       -0.4316535641        0.0008349291        0.50862        0.00091
 660.0        0.74185        0.63497       -0.4316535641        0.0008349291        0.51558        0.07010
 660.0        0.75628        0.62612       -0.4363102528        0.0008863728        0.51732        1.00000
 660.0        0.75628        0.62612       -0.4363102528        0.0008863728        0.51207        0.02462
 660.0        0.75628        0.62612       -0.4363102528        0.0008863728        0.51868        0.36281
 710.0        0.75628        0.62612       -0.4363102528        0.0008863728        0.50674        0.01175
 710.0        0.76076        0.62067       -0.4399448704        0.0007102457        0.51787        1.00000
 710.0        0.76076        0.62067       -0.4399448704        0.0007102457        0.51363        0.04002
 710.0        0.77549        0.62609       -0.4416562673        0.0006272424        0.52376        1.00000
 710.0        0.77549        0.62609       -0.4416562673        0.0006272424        0.51842        0.10819
 760.0        0.77549        0.62609       -0.4416562673        0.0006272424        0.52520        0.00946
 760.0        0.77549        0.62609       -0.4416562673        0.0006272424        0.51767        0.35737
 760.0        0.79335        0.60896       -0.4443023113        0.0009176892        0.52302        1.00000
 760.0        0.79335        0.60896       -0.4443023113        0.0009176892        0.51650        0.06611
 760.0        0.79335        0.60896       -0.4443023113        0.0009176892        0.53089        0.56106
 810.0        0.79335        0.60896       -0.4443023113        0.0009176892        0.51790        0.10832
 810.0        0.79335        0.60896       -0.4443023113        0.0009176892        0.51612        0.02240
 810.0        0.79335        0.60896       -0.4443023113        0.0009176892        0.52352        0.43671
 810.0        0.79335        0.60896       -0.4443023113        0.0009176892        0.52004        0.05767
 810.0        0.79335        0.60896       -0.4443023113        0.0009176892        0.51164        0.00052
 860.0        0.79335        0.60896       -0.4443023113        0.0009176892        0.52506        0.23073
 860.0        0.79335        0.60896       -0.4443023113        0.0009176892        0.51743        0.04054
 860.0        0.80453        0.61660       -0.4464617050        0.0006996659        0.52855        1.00000
 860.0        0.78605        0.62645       -0.4446082995        0.0006041570        0.52668        0.20313
 860.0        0.79565        0.62279       -0.4440201656        0.0007194679        0.52904        0.60303
 910.0        0.79565        0.62279       -0.4440201656        0.0007194679        0.52945        0.01777
 910.0        0.79565        0.62279       -0.4440201656        0.0007194679        0.52827        0.11622
 910.0        0.79565        0.62279       -0.4440201656        0.0007194679        0.53088        0.25165
 910.0        0.78957        0.61651       -0.4422819579        0.0006974681        0.52508        0.20561
 910.0        0.78598        0.60713       -0.4430756733        0.0006708010        0.52063        1.00000
 960.0        0.78598        0.60713       -0.4430756733        0.0006708010        0.51810        0.03324
 960.0        0.77929        0.62152       -0.4439252440        0.0009242879        0.52311        1.00000
 960.0        0.79202        0.61825       -0.4449779929        0.0006248304        0.52489        1.00000
 960.0        0.79202        0.61825       -0.4449779929        0.0006248304        0.51632        0.00895
 960.0        0.79202        0.61825       -0.4449779929        0.0006248304        0.52416        0.08895
1010.0        0.79202        0.61825       -0.4449779929        0.0006248304        0.52557        0.08244
1010.0        0.79202        0.61825       -0.4449779929        0.0006248304        0.52605        0.14622
1010.0        0.79202        0.61825       -0.4449779929        0.0006248304        0.52188        0.06923
