COST_FUNCTION:      MEAN_COST_FUNCTION:
   39.6720225               52.0339232
   37.9177930               45.6660771
   30.3772792               40.8725501
   26.7947735               37.2169034
   26.8892219               34.0638674
   22.1906958               32.5509565
   22.2421707               29.4498112
   21.8947814               27.5514672
   21.1114657               27.8244847
   17.7595812               26.2215523
   19.2184730               24.9935481
   15.0223392               23.6734329
   15.4975227               20.7501653
   15.0236262               21.4648675
   14.9414741               20.6722201
   14.0185193               19.4307183
   14.1359995               20.5640294
   14.1657344               20.3714168
   14.0129761               19.2151821
   13.3402056               17.9323163
   13.3402056               18.0132287
   13.0188853               17.9359118
   11.5892881               16.6537908
   11.4668460               16.0955841
   10.9868645               15.9400351
   11.3390655               15.3863736
   10.9678735               14.7755389
   10.3317180               16.0128773
    8.0241915               15.2395641
   10.4094985               15.1623753
    9.2856299               14.4177520
    9.2330460               14.4023329
    9.3026729               13.6072668
    9.1928862               13.5692015
    9.0506116               14.6510781
    9.0923346               13.7739062
    8.9441180               13.0515820
    8.7448189               12.5717072
    8.3504412               12.7612789
    8.8165316               13.2161829
    8.8069682               14.0986353
    7.8034701               13.5702910
    8.0889900               12.7179394
    7.6031346               12.9972778
    7.9050264               13.0540112
    7.7062820               12.0759800
    7.9006557               12.0544444
    7.7984449               12.3687792
    7.8709624               11.7026736
    7.4782137               11.3687626
    7.2469980               11.0454889
    7.4130832               11.7415655
    7.0939286               12.2039925
    7.0902750               11.6416726
    6.1134167               12.1423648
    6.8946501               12.6734076
    6.5035609               13.0144954
    6.8272427               11.5601191
    6.3026085               10.6549762
    6.8227508               10.4610677
    5.8876792                9.9739796
    5.9535590                9.6412837
    5.6695091               10.9040792
    5.8243285                9.1421111
    5.7815470                9.7091429
    5.7799019               10.8359715
    5.4931047               10.4027410
    5.5390632                9.6334040
    5.5047028                8.5918240
    5.5293989                8.8326804
    5.4890879               10.0002530
    4.3403600                8.9050496
    4.3403600                8.3437311
    4.3403600                7.8884943
    4.2931524                8.2866773
    4.3403600                8.4282176
    4.2807849                8.3340686
    4.1345945                8.0785130
    4.2224990                8.1816823
    3.9765706                7.8229203
    4.1684565                8.0876593
    4.1671825                7.9252035
    4.1514620                9.3669260
    4.1958469                7.9723431
    4.1514620                7.6975897
    4.1678445                7.9799654
    4.1678445                8.1612171
    4.1678445                7.1847420
    4.1678445                6.8539686
    4.1266733                7.6795086
    3.7121896                7.5960570
    3.7893828                9.3715941
    4.0587793                8.3329837
    4.0587793                7.2822170
    4.0514702                7.4818957
    4.0587793                8.3308160
    4.0587793                8.4839758
    3.8697060                8.5163621
    4.0587793                7.5055857
    4.0587793                7.7730932
    4.0587793                7.4339110
    3.8734357                7.7147498
    4.0587793                8.3736726
    3.8196156                7.1539572
    4.0587793                8.8895186
    4.0331086                7.6059699
    4.0282363                7.9898906
    4.0587793                8.2421233
    4.0587793                7.2997466
    3.7816655                7.2932911
    4.0282363                7.6080224
    3.7627326                7.6191706
    3.7608757                7.4743692
    4.0280680                8.0162252
    3.4597630                8.3162037
    3.7889043                7.6924273
    3.5117905                7.1772845
    3.6243715                7.6699086
    3.7834942                7.4874514
    3.7795286                8.0816561
    3.6998314                8.3934903
    3.7572105                7.2265331
    3.7608696                9.4435467
    3.7608696                8.0961218
    3.7608696                7.4572450
    3.1925646                7.8131533
    3.4645790                9.3060404
    3.5960483                8.4039407
    3.4107047                7.9872893
    3.4090596                7.0049476
    3.4053299                5.7947709
    3.3881909                6.6682392
    3.3881909                7.9100595
    3.4287210                7.3458929
    3.4537860                7.9470811
    3.4625785                7.1683646
    3.5852553                7.7497802
    3.5852553                6.9987285
    3.5741194                7.3721586
    3.5852553                7.6353974
    3.4537860                7.5811250
    3.0169503                8.6776814
    3.4579242                8.7254027
    3.5716518                8.6159617
    3.0033468                8.0915803
    3.3745874                6.5223820
    3.3745874                7.7301813
    3.3685310                7.2639841
    3.3708176                8.1693048
    3.3708176                7.7810460
    3.3708176                7.3399926
    3.3708176                7.7578548
    3.3708176                6.3692896
    3.2617443                6.3483107
    3.3708176                8.0941951
    3.3708176                7.5247892
    3.3708176                7.1180017
    3.0937038                6.4260106
    2.9937804                7.7593460
    3.1767885                7.2924605
    3.1817443                6.6111182
    3.1817443                6.5920005
    3.1817443                7.7317679
    3.1817443                6.9007471
    3.1817443                7.2616456
    3.0638784                6.6721057
    3.1817443                5.9352355
    3.0638784                6.7909009
    3.1817443                7.7610279
    3.1817443                6.7539635
    3.0638784                7.3097210
    2.9937804                6.8735344
    3.0638784                6.3108591
    3.0638784                6.8119659
    2.9073442                6.7509332
    3.0589227                7.8286092
    3.0589227                6.6937271
    3.0589227                6.9830554
    2.4906177                7.7230456
    2.9023885                6.5481653
    3.0589227                6.4904085
    3.0137631                6.6680641
    2.8709588                6.7189272
    3.0589227                6.8558219
    3.0589227                7.4530481
    2.8709588                7.1765798
    3.0589227                7.4125635
    3.0589227                7.5514617
    2.4906177                7.7223985
    2.4025772                7.6109341
    2.4025772                6.0423233
    2.4454581                5.7823957
    2.4454581                6.0843201
    2.4906177                6.1645307
    2.4906177                6.4708862
    2.4906177                7.0738582
    2.4906177                8.0357291
    2.4906177                6.1419631
    2.3026538                5.4637891
    2.4906177                6.5462615
    2.3026538                6.1445588
    2.4906177                7.4300154
    2.4906177                5.8082844
    2.3026538                7.2511969
    2.4906177                6.3199805
    2.4906177                6.3585313
    2.3026538                6.5973779
    2.4454581                6.2458240
    2.4454581                7.0513038
    2.4454581                7.5222069
    2.4454581                7.1608177
    2.4454581                6.7979189
    2.4454581                6.8803709
    2.4454581                6.1706491
    2.4454581                5.4873909
    2.2574942                5.6878401
    2.2889239                6.0548997
    2.2905690                6.3389237
    2.1026051                5.6277921
    2.2905690                6.5179814
    2.2905690                5.5723788
    2.2905690                6.9078667
    2.2905690                6.6056402
    2.2905690                6.8859842
    2.2905690                5.9566023
    2.2905690                6.3563841
    2.2905690                6.3410095
    2.2905690                6.1471035
    2.2905690                5.1992465
    2.2905690                5.7999582
    2.2905690                7.4054462
    2.1026051                5.2583736
    2.2905690                5.9971359
    2.2905690                6.7821359
    2.2905690                5.8479595
    2.2905690                5.5115175
    2.2905690                6.3840225
    2.2905690                5.9381813
    2.1026051                6.2621685
    2.2905690                4.9887311
    2.2905690                6.2129779
    2.1026051                6.0943638
    2.2905690                6.1241221
    2.2905690                6.1540652
    2.2905690                6.4692025
    2.2905690                7.2118779
    2.2905690                6.3932817
    2.2905690                6.1720973
    2.2905690                6.2688244
    2.2905690                6.6161556
    2.2905690                6.9905110
    2.2905690                7.4605913
    2.2905690                7.2575733
    2.2905690                8.2287282
    2.2905690                6.7308518
    2.2905690                8.9600100
    2.2905690                6.5668014
    2.2905690                6.3172458
    2.2905690                6.1876064
    2.2905690                6.3105462
    2.2905690                7.0702998
    2.2905690                6.2102940
    2.2905690                5.6694460
    2.2905690                6.1775564
    2.2905690                7.0703760
    2.2905690                7.3699010
    2.2905690                7.3279572
    2.2905690                6.7087838
    2.2905690                5.6763134
    2.2889239                6.0927675
    2.2905690                5.8643943
    2.2905690                5.9619131
    2.2905690                5.5114435
    2.1026051                5.9961138
    2.2889239                7.2156062
    2.2905690                6.1035006
    2.2905690                6.1882725
    2.2905690                6.2706116
    2.2905690                5.9549876
    2.2905690                6.0826857
    2.2905690                5.3936870
    2.2905690                5.9307013
    2.2905690                5.2058998
    2.1026051                5.4514233
    2.2905690                6.1586985
    2.2905690                6.3853273
    2.2905690                7.5663388
    2.2889239                6.6194857
    2.1026051                6.1197170
    2.2905690                5.5162325
    2.2905690                5.8720418
    2.2889239                5.5857448
    2.1026051                5.2725922
    2.2905690                5.6483288
    2.2905690                6.3851448
    2.2905690                5.8909910
    2.2905690                6.6318246
    2.2905690                5.6101250
    2.2905690                6.1143016
    2.2905690                5.4429514
    2.2905690                6.0042556
    2.2905690                6.5795699
    2.2905690                7.2655616
    2.2905690                6.8446972
    2.2905690                7.1753902
    2.2905690                6.8697505
    2.2905690                6.8550916
    2.2905690                5.5509922
    2.2905690                5.8690027
    2.2905690                6.9364362
    2.2905690                7.1216646
    2.2905690                7.6741018
    2.2905690                6.3280776
    2.2905690                5.8728997
    2.2905690                5.9075777
    2.2905690                6.0706897
    2.2905690                6.5947413
    2.2889239                6.0250243
    2.2905690                6.5239763
    2.2905690                6.6393355
    2.1026051                5.5460751
    2.2905690                6.7116315
    2.2905690                6.2162170
    2.2905690                5.2535797
    2.2905690                6.2277754
    2.2905690                6.9981568
    2.2905690                6.5439858
    2.2905690                6.6412800
    2.2905690                5.7597492
    2.2905690                6.8612768
    2.2905690                6.4898595
    2.2905690                6.8621650
    2.2905690                6.7172331
    2.2905690                5.6538840
    2.2905690                5.9609140
    2.2905690                5.4490271
    2.2905690                5.0858047
    2.2905690                6.4143615
    2.2905690                6.3312110
    2.2905690                6.4468862
    2.2905690                6.5340745
    2.2905690                5.6661361
    2.2905690                5.9478004
    2.2905690                6.3599114
    2.2905690                6.4875388
    2.2905690                7.3976213
    2.2905690                5.9987436
    2.2905690                6.0479980
    2.2905690                6.5587749
    2.2905690                5.9897535
    2.2905690                6.8807278
    2.1026051                6.2251470
    2.2905690                5.7420957
    2.2905690                6.9657037
    2.2905690                6.1509788
    2.2905690                6.2975565
    2.2905690                6.5539368
    2.2905690                5.2837633
    2.2905690                5.4935299
    2.1026051                6.2299853
    2.2905690                6.0587567
    2.2905690                6.5260381
    2.1026051                6.5533628
    2.2905690                6.5426863
    2.2905690                6.9114081
    2.2905690                5.5998367
    2.2905690                5.8077316
