#NUM_CITY:  X_COORD:  Y_COORD:
         0     0.717     0.697
         1     0.482     0.876
         2    -0.128    -0.992
         3    -0.488     0.873
         4    -0.990     0.143
         5    -0.900    -0.436
         6    -0.279    -0.960
         7     0.858     0.514
         8    -0.557    -0.831
         9     0.829    -0.560
        10    -0.691     0.723
        11     0.517    -0.856
        12     0.163    -0.987
        13     0.991     0.132
        14     0.491     0.871
        15    -0.898    -0.440
        16    -0.183     0.983
        17    -0.959    -0.284
        18     0.994     0.108
        19    -0.867    -0.499
        20     0.919     0.395
        21     0.029    -1.000
        22     0.106     0.994
        23     0.349     0.937
        24    -0.999     0.043
        25     0.038    -0.999
        26    -0.991     0.131
        27    -0.999     0.036
        28    -0.050     0.999
        29     0.067     0.998
        30    -0.984     0.176
        31    -0.861    -0.509
        32    -0.743    -0.670
        33    -0.875    -0.484
