#NUM_CITY:  X_COORD:  Y_COORD:
         0    -0.755    -0.660
         1     0.459    -0.338
         2    -0.046     0.144
         3     0.410    -0.828
         4     0.312     0.811
         5    -0.257     0.673
         6     0.552    -0.958
         7    -0.663     0.145
         8    -0.442     0.092
         9    -0.965     0.166
        10    -0.871     0.509
        11    -0.534    -0.613
        12    -0.014     0.512
        13    -0.042    -0.011
        14    -0.484    -0.521
        15    -0.056     0.170
        16     0.234     0.161
        17    -0.832    -0.681
        18     0.864     0.508
        19     0.004    -0.951
        20     0.372    -0.261
        21     0.304    -0.572
        22     0.357    -0.804
        23    -0.758     0.360
        24     0.155     0.680
        25    -0.894    -0.093
        26     0.532     0.941
        27    -0.548     0.989
        28     0.838     0.880
        29     0.627    -0.964
        30    -0.732    -0.893
        31     0.427    -0.776
        32     0.971    -0.202
        33    -0.454    -0.497
