COST_FUNCTION:      MEAN_COST_FUNCTION:
   39.9896334               52.0864272
   33.3095995               45.5688084
   32.8350245               41.3911649
   29.5044451               38.0729316
   27.4823716               35.3709343
   25.6335526               33.1448710
   24.7046222               30.7627757
   22.6688667               28.7251052
   20.6418240               27.3182892
   19.1379430               24.2299316
   17.0720396               23.0514796
   16.1690645               21.0842266
   15.8161541               20.0948035
   15.7673401               20.4702762
   14.4809400               18.4719778
   13.8064020               18.8253961
   12.1100624               18.1312569
   12.6949235               17.0303774
   12.9315372               15.5575475
   12.6492094               15.9589014
   11.5103886               16.5549902
   11.9329226               16.9551705
   12.1855959               17.2287554
   12.0202230               16.9423660
   11.9843524               15.3852536
   10.7995298               15.1738712
   10.7690076               14.4437741
   10.0286068               15.2706199
   10.4557427               14.2817364
   10.3883354               13.8585159
   10.1367119               13.7646975
    9.3927884               13.6642833
    9.4607793               13.0156531
    9.7220370               12.6888480
    9.5483364               13.1922235
    9.6635723               13.6769820
    9.6635723               12.5948855
    9.1917513               12.8113897
    9.2536945               12.8191910
    9.5885026               13.6978418
    9.0856329               13.6399930
    8.5095253               13.0990808
    8.2089888               11.6726670
    7.2759210               11.8635447
    7.1048155               11.4452171
    7.1138143               11.3528686
    7.0762782               10.8444608
    7.4226948               11.5529556
    7.2438607                9.7626015
    6.5431915               10.4860008
    7.4226948               10.5909706
    6.9033226                9.9137973
    7.1835311                9.4501045
    6.8452687               10.5519830
    6.8969237               10.9494910
    6.6660284                9.6991786
    6.8546800               10.1315871
    6.8969237                9.7329107
    6.8969237               10.4146199
    6.6014874                9.4520085
    6.7453973                9.8422730
    6.7163154                9.2984188
    6.8546800                9.4671233
    6.6656067                9.2512713
    6.8121007               11.2336011
    6.8121007               11.7994194
    5.8510113               11.2172868
    4.9631148                9.8998054
    5.5362157                8.1013781
    5.4547984                8.3834290
    5.0009218                8.0448039
    5.3719125                8.7347573
    5.2646952                9.4397894
    5.3788474                8.5209911
    5.4913045                8.2064896
    5.4282254                8.9146141
    5.3310214               10.2262956
    4.3547713                9.4133286
    5.2714023               10.0451778
    4.6700608                8.7863778
    5.2593821                9.7784253
    4.3991250                9.0480099
    4.6853563                7.7853578
    4.1761449                8.2386358
    4.4774710                7.4934395
    4.3847690                6.9893757
    4.4259836                7.2422537
    4.4802692                7.5480694
    4.4165552                6.8298265
    4.2232764                6.5571769
    3.8149489                6.8719710
    4.4754799                7.7767594
    4.4802692                8.9527182
    4.3958575                7.7905492
    4.4802692                7.6915304
    4.2297324                6.9089153
    4.0779852                7.9180955
    3.7379555                7.6538075
    3.8785673                7.3477005
    3.8763334                7.6204706
    3.8785673                6.9201471
    3.1022574                6.7703482
    3.8702771                8.4750906
    3.8702771                6.5576822
    3.8702771                7.3387191
    3.6304709                7.3074098
    3.8702771                6.5483509
    3.6304709                7.6494786
    3.2049567                6.8748179
    3.6998615                6.9807722
    3.2049567                9.4102127
    3.6998615                9.1369799
    3.6998615                7.4771353
    3.6998615                7.4238283
    3.6956380                6.8440506
    2.9235516                6.9498252
    3.6059223                6.8250451
    3.1141454                6.0127976
    3.4541750                6.7061283
    3.4541750                7.3195627
    3.4541750                7.5354979
    3.4541750                7.1549214
    3.4541750                7.1733020
    3.4464578                6.4189629
    3.4541750                6.7322722
    3.3847844                7.1528784
    3.4541750                7.7352828
    3.4541750                6.7677652
    3.0897173                7.3213664
    3.4541750                6.4657663
    3.4541750                5.7719690
    3.4541750                6.0656175
    3.4541750                6.7159366
    3.4541750                6.9675571
    3.4541750                7.1359550
    3.4541750                6.7115428
    3.4541750                6.5075162
    3.4464578                6.4125463
    3.4541750                6.6102923
    3.4541750                6.0005077
    3.4464578                7.4491209
    2.9623981                6.3274743
    3.4541750                7.8722542
    3.4541750                7.0418211
    3.4541750                6.2421212
    3.1972374                7.2074690
    3.4541750                7.9277585
    3.4541750                7.2010136
    2.9623981                6.0770587
    3.4541750                6.6047878
    2.9623981                7.5324296
    2.7910873                8.6200758
    2.7910873                8.1379623
    2.7910873                6.3825633
    2.7910873                5.5673998
    2.7910873                6.3048463
    2.7833700                5.2012953
    2.7910873                5.8749987
    2.7910873                6.0599212
    2.7910873                5.9715632
    2.7910873                6.6866773
    2.7910873                5.1367665
    2.7910873                5.7937328
    2.5341496                5.7754197
    2.7910873                5.9964524
    2.7910873                6.0559341
    2.7884180                5.3656724
    2.7910873                6.3742984
    2.7910873                5.9753092
    2.7910873                5.5604247
    2.7910873                5.6189474
    2.2993103                6.2956254
    2.7910873                5.6105165
    2.7910873                5.6971534
    2.7910873                5.4201373
    2.7910873                6.1712675
    2.7910873                6.8141854
    2.7910873                5.4052657
    2.7910873                6.4817866
    2.2993103                6.5792218
    2.7910873                6.2025272
    2.5341496                5.9253247
    2.7833700                6.0219159
    2.7910873                6.4678116
    2.1087166                5.3742342
    2.7833700                5.8011833
    2.7833700                6.1492142
    2.7833700                7.2150815
    2.3224004                6.9297285
    2.5290623                6.3681912
    2.7833700                5.8629027
    2.7833700                5.9595451
    2.7833700                5.0280802
    2.5290623                5.0368183
    2.7195817                5.3329935
    2.7195817                5.9751442
    2.7195817                5.6314148
    2.7195817                6.1490929
    2.7195817                5.0567864
    2.7195817                5.7145391
    2.7195817                6.0182361
    2.7195817                6.2851247
    2.7195817                5.4645943
    2.4652739                6.3047909
    2.7195817                5.8086289
    2.7195817                5.9318870
    2.7195817                5.4206097
    2.7195817                6.0540219
    2.7195817                6.9584038
    2.7195817                6.3945270
    2.7195817                6.3854374
    2.7195817                6.3925372
    2.7195817                6.3041269
    2.7195817                5.4490468
    2.7195817                6.4819237
    2.7195817                5.2330866
    2.7195817                6.0908481
    2.7195817                5.7816603
    2.7195817                5.4885085
    2.7195817                5.4019568
    2.7195817                5.6400322
    2.7195817                5.4523220
    2.7195817                6.2026556
    2.5046252                7.1285659
    2.6613823                5.5833382
    2.7195817                5.1521773
    2.7195817                5.8871395
    2.7195817                5.9328130
    2.7195817                6.1634286
    2.7195817                5.2500716
    2.7195817                5.2516372
    2.4652739                6.1500620
    2.5651973                5.3110643
    2.7195817                5.1221015
    2.7195817                6.0186162
    2.2915931                5.2390372
    2.4652739                4.9279908
    2.7195817                6.1978687
    2.7195817                5.8906730
    2.7195817                6.0370851
    2.7195817                5.4277559
    2.7195817                5.1074275
    2.7195817                5.1231902
    2.7195817                5.7280522
    2.7195817                5.8820435
    2.7195817                5.7344037
    2.7195817                6.3680651
    2.7195817                6.2677353
    2.7195817                5.6086956
    2.7195817                6.1822137
    2.7195817                6.1669570
    2.7195817                6.0855653
    2.7195817                6.1621620
    2.7195817                6.0961433
    2.2915931                5.9852566
    2.7169125                6.5465468
    2.7169125                7.3119786
    2.7169125                5.4233904
    2.7169125                5.3175852
    2.7169125                5.8972383
    2.7169125                5.8143910
    2.7169125                6.6524841
    2.7169125                5.9552993
    2.7169125                5.4544352
    2.7169125                5.3962565
    2.7169125                6.6074940
    2.7169125                6.6808956
    2.7169125                5.7945683
    2.2889239                6.1810901
    2.7169125                4.5585875
    2.7169125                4.9800604
    2.4809087                4.8599194
    2.7169125                5.3381879
    2.7169125                5.1518223
    2.7169125                5.0219662
    2.7169125                6.0797842
    2.7169125                6.0573974
    2.7169125                6.2764474
    2.7169125                6.0854910
    2.4626047                6.0335785
    2.7169125                5.7679941
    2.7169125                5.6276066
    2.7169125                5.8364992
    2.7169125                4.5476316
    2.7169125                5.4974126
    2.7169125                6.1009034
    2.7169125                6.3792518
    2.7169125                6.9895024
    2.7169125                5.8082472
    2.2889239                5.0433202
    2.7169125                5.5283327
    2.2889239                6.7805489
    2.7169125                5.8578541
    2.7169125                5.4840602
    2.7169125                5.3129487
    2.7169125                5.5179532
    2.7169125                5.5094994
    2.7169125                6.1440575
    2.7169125                5.1501482
    2.7169125                6.0983518
    2.4691879                5.3553678
    2.7169125                5.1092634
    2.7169125                5.3673749
    2.7169125                6.2831030
    2.2889239                5.8524743
    2.7169125                5.9097961
    2.7169125                6.4891964
    2.7169125                5.8927324
    2.7169125                5.0442629
    2.7169125                5.1346711
    2.7169125                6.2563363
    2.7169125                6.1670779
    2.7169125                6.5234060
    2.7169125                6.1922880
    2.7169125                5.5218795
    2.7169125                4.9126265
    2.7169125                5.3846376
    2.2889239                6.2153793
    2.7169125                5.6904118
    2.7169125                6.2779844
    2.7169125                6.3245377
    2.7169125                5.4123963
    2.7169125                5.9571989
    2.7169125                5.4999441
    2.7169125                4.8470989
    2.4626047                5.0484134
    2.7169125                5.5863205
    2.7169125                5.6859447
    2.7169125                6.4672040
    2.7169125                5.3839322
    2.7169125                6.1769735
    2.7169125                5.9728599
    2.7169125                5.3259837
    2.7169125                5.0912847
    2.7169125                5.9108083
    2.7169125                5.5985452
    2.7169125                5.4061451
    2.7169125                5.3974271
    2.7169125                5.1553449
    2.7169125                5.5959912
    2.7169125                5.7859661
    2.7169125                4.7746589
    2.4626047                5.6808558
    2.2889239                5.0535066
    2.2889239                5.4519381
    2.2889239                4.8739440
    2.2889239                5.7132792
    2.2889239                5.2513938
    2.2889239                5.5200576
    2.2889239                4.9492368
    2.2889239                6.6212291
    2.2889239                4.8434335
    2.2889239                6.0276862
    2.2889239                5.0402028
    2.2889239                5.8506206
    2.2889239                6.0768909
    2.2889239                5.1715658
    2.2889239                5.1529557
    2.1009600                4.9398425
    2.2889239                3.7579272
    2.2889239                4.7276349
    2.2889239                5.3393802
    2.2889239                5.8579933
    2.2889239                5.7959947
    2.2889239                6.2284301
    2.2889239                5.8065079
    2.2889239                5.0733431
    2.2889239                4.8368676
    2.1009600                5.8104085
    2.2449467                5.8370469
    2.2889239                5.0110302
    2.2889239                5.6769295
    2.2889239                5.3668873
    2.1009600                5.3633346
    2.2889239                5.9443330
    2.2889239                5.6766226
    2.2889239                6.1605005
    2.2889239                5.6532857
    2.2889239                5.4209570
    2.2889239                5.9176491
    2.2889239                5.8239302
    2.2889239                5.7675194
    2.2889239                5.1139897
    2.1009600                5.1116406
    2.2889239                6.3973952
    2.2889239                5.4920940
    2.2889239                4.5550960
    2.2889239                5.2751710
    2.2889239                4.8496601
    2.2889239                6.2333096
    2.2889239                5.3494431
    2.2889239                5.5406196
    2.2889239                5.4670582
    2.2889239                5.6831076
    2.2889239                5.5486238
    2.2889239                5.9954350
    2.2889239                6.3249903
    2.2889239                4.9125283
    2.2889239                5.5437217
    2.2889239                4.7851015
    2.2889239                5.0638414
    2.2889239                5.9852234
    2.2889239                5.9628892
    2.2889239                5.8706034
    2.1164507                6.2602985
    2.2889239                5.0422031
    2.2889239                6.1778035
    2.2889239                5.1766679
    2.2889239                5.4815233
    2.2889239                5.2780211
    2.2889239                5.1320298
    2.2889239                4.9552565
    2.2889239                6.3063820
    2.2889239                4.8535256
    2.2889239                4.8756345
    2.2889239                5.1260885
    2.1009600                5.1977690
    2.2889239                5.0667167
    2.2889239                5.6778540
    2.2889239                5.2385062
    2.2889239                4.6076158
    2.2889239                4.9943125
    2.2889239                5.5121954
    2.2889239                6.2256432
    2.2889239                5.3469168
    2.2889239                5.4966189
    2.2889239                4.9413506
    2.1009600                4.6916797
    2.2889239                4.8763295
    2.2889239                4.8687197
    2.2889239                5.4815272
    2.2008834                5.2646822
    2.2889239                6.1945886
    2.2889239                4.9474756
    2.2889239                5.7515241
    2.2889239                5.8123691
    2.2889239                5.9292103
    2.2889239                5.5270772
    2.2889239                5.1896404
    2.2889239                6.1957626
    2.2889239                4.8470538
    2.2889239                5.6883355
    2.2889239                5.2908711
    2.2889239                5.0804238
    2.2889239                4.5832298
    2.2889239                6.2046522
    2.2889239                5.2809487
    2.2889239                5.3449689
    2.2889239                5.5714033
    2.2889239                5.2510907
    2.2889239                4.1662567
    2.2889239                4.7250451
    2.1009600                5.3439162
    2.2889239                6.2489704
    2.2889239                6.3077777
    2.2889239                5.8691106
    2.2889239                6.5219453
    2.2889239                5.6811454
    2.2889239                5.8682307
    2.2889239                5.5087336
    2.2889239                4.7106217
    2.2889239                6.0448638
    2.2889239                6.2593580
    2.2889239                5.1540537
    2.2889239                5.2958439
    2.2889239                5.8881275
    2.2889239                5.2505598
    2.2889239                4.9735593
    2.2889239                5.5955046
    2.2889239                4.8579759
    2.2889239                5.2238750
    2.2889239                5.8672045
    2.2889239                4.7860277
    2.2889239                6.0714240
    2.2889239                5.9715284
    2.2889239                6.2300148
    2.2889239                5.4392925
    2.2889239                4.8372453
    2.2889239                5.0346481
    2.2889239                5.3441384
    2.2889239                5.0391810
    2.2889239                5.6263354
    2.2889239                5.7594331
    2.2889239                5.4944029
    2.2889239                5.6833113
    2.2889239                6.1925930
    2.2889239                5.5156245
    2.2889239                5.3295970
    2.2889239                5.1508566
    2.2889239                5.0597184
    2.2889239                5.0556202
    2.2889239                4.7172750
    2.2889239                4.6183713
    2.2889239                5.2285513
    2.2889239                5.7889964
    2.2889239                5.2668826
    2.2889239                6.3318476
    2.2889239                5.3526923
    2.2889239                5.0134170
    2.1009600                5.0709699
    2.2889239                5.5569792
    2.2889239                5.4931297
    2.2889239                5.7572010
    2.2889239                5.4253080
    2.2889239                5.8070319
    2.2889239                5.7217171
    2.2889239                5.1499333
    2.2889239                4.8979246
    2.2889239                5.1376684
    2.2889239                5.7654839
    2.2889239                4.9598251
    2.2889239                5.5326362
    2.2889239                5.6001057
    2.2889239                5.6849073
    2.2889239                5.0934449
    2.2889239                5.8678173
    2.2889239                4.4532816
    2.2889239                5.0575447
    2.2889239                5.5573371
    2.2889239                5.4821870
    2.2889239                5.6173644
    2.2889239                5.4832275
    2.2889239                5.2228970
    2.2889239                5.8604151
    2.2889239                5.8676766
    2.2889239                5.6160004
    2.2889239                5.3238571
    2.2889239                5.8373941
    2.2889239                5.8808095
    2.2889239                5.5425213
    2.2889239                4.6109832
    2.2889239                4.3402492
    2.2889239                5.5623254
    2.2889239                4.8120227
    2.2889239                5.5117982
    2.2889239                6.1841910
    2.2889239                6.0373494
    2.2889239                5.0845276
    2.2889239                5.3731043
    2.2889239                5.9911729
    2.2889239                6.1836466
    2.2889239                5.0968248
    2.2889239                5.8260206
    2.2889239                6.4916414
    2.2889239                6.7310796
    2.2889239                5.6155968
    2.2889239                5.1291893
    2.2889239                5.9291358
    2.2889239                5.1060987
    2.2889239                5.1852357
    2.2889239                6.5694560
    2.2889239                6.4521658
    2.2889239                5.9352038
    2.2889239                6.1888196
    2.2889239                6.0215580
    2.2889239                5.8094727
    2.2889239                5.6956687
    2.1009600                5.9800732
    2.1009600                5.4304322
    2.2889239                5.2760168
    2.2889239                4.7415999
    2.2889239                4.6113401
    2.2889239                4.5890352
    2.2889239                4.6108158
    2.2889239                5.5651050
    2.1009600                6.0824214
    2.2889239                5.2257118
    2.2889239                6.0570329
    2.2889239                5.2164369
    2.2889239                6.3038658
    2.2889239                4.6539260
    2.2889239                5.5364506
    2.2889239                5.1897695
    2.2889239                5.6520028
    2.2889239                4.5449076
    2.2889239                6.2764587
    2.2889239                5.0341513
    2.2889239                5.6481334
    2.2889239                5.0397735
    2.2889239                6.6333089
    2.2889239                5.8218411
    2.2889239                5.2911269
    2.2889239                5.2270281
    2.2889239                5.3326504
    2.1009600                6.1154092
    2.2889239                5.1708949
    2.2889239                4.6574676
    2.2889239                4.5762524
    2.2889239                5.4390201
    2.2889239                5.1980639
    2.2889239                4.6683978
    2.2889239                4.9958284
    2.2889239                5.0545976
    2.2889239                5.3989182
    2.2889239                6.4202509
    2.2889239                6.0978650
    2.2889239                5.9129272
    2.2889239                6.5906869
    2.2889239                6.2555207
    2.2889239                5.7048216
    2.2889239                5.4713588
    2.2889239                5.8539341
    2.2889239                5.2254196
    2.2889239                4.9403083
    2.2889239                5.4538987
    2.2889239                6.3214410
    2.2889239                6.4359223
    2.2889239                5.3442685
    2.2889239                4.9130661
    2.2889239                5.5884980
    2.2889239                5.5549393
    2.2889239                5.6657374
    2.2889239                4.9077908
    2.2889239                5.2305998
    2.2889239                5.0024865
    2.2889239                5.4624406
    2.2889239                5.2918895
    2.2889239                6.2940577
    2.2889239                5.7879440
    2.2889239                6.0406233
    2.2889239                5.0742024
    2.2889239                5.4598070
