COST_FUNCTION:      MEAN_COST_FUNCTION:
   28.9162356               38.8296827
   26.2250319               34.7225432
   24.4931903               30.8193241
   23.6063050               27.9903731
   21.0410047               26.2381261
   19.2445622               24.3506592
   17.6877520               22.0804587
   17.0771098               20.4707099
   17.0145147               19.8583457
   15.0576903               18.9736484
   14.8000374               18.9258615
   14.0434090               17.4549243
   13.8381488               17.3484375
   13.4430591               16.9332429
   13.2740154               16.0401056
   12.1731754               15.5237944
   11.9291671               15.5056461
   11.5159919               14.4033069
   11.2952245               14.0839802
   11.5533075               13.8315879
   10.0240652               14.4359898
   10.7687009               14.9084183
   10.3185214               13.5353270
   10.0855944               14.1796614
   10.3671270               13.5595680
   10.3921691               13.3796984
   10.3921691               12.6413368
   10.3595314               12.8135493
   10.2267359               12.6748120
    9.2861803               12.5010555
    9.1741468               12.3231725
    9.0762890               11.9426506
    9.4870244               11.4104612
    9.0762890               11.2778123
    9.0705131               11.7709103
    9.2244098               12.2223855
    9.0811027               11.3657402
    8.7692264               11.2691083
    8.8238909               11.6065854
    8.8238909               11.5765776
    8.6754923               11.5842411
    8.8238909               11.6099702
    8.8238909               10.8337863
    8.1877291               11.5058453
    8.5167289               11.9868692
    8.6968273               11.9716833
    8.6840645               11.0907244
    8.3203818               12.7625157
    8.6968273               11.6704321
    8.6968273               11.4309208
    8.6546552               11.5885209
    8.3557025               10.7929405
    8.0606655               10.2472251
    8.2714004               11.2774120
    8.2194600               11.4525856
    8.2714004               10.4062020
    7.6170349               11.0333119
    7.8928439               10.8617193
    8.1048391               10.5190299
    7.9306393               10.5704988
    8.1643669               10.8812159
    8.2025491               10.3542102
    8.2025491               10.4926860
    7.7473657                9.8638467
    8.2025491                9.8308580
    8.2025491               10.3319716
    7.9747235               10.7846376
    8.0889220               10.5316528
    8.2025491                9.8147895
    8.2025491               10.2511314
    7.2802279               10.5869033
    8.0800068               10.3542671
    8.1935263               10.7087067
    7.2802279               10.6590562
    8.2025491               10.6426382
    8.2025491               10.9165585
    8.1933796               10.9255203
    8.2025491               10.2783579
    8.0138273               10.6731212
    7.5663873               11.5745915
    8.1403996               11.9397073
    7.6792546               11.6113258
    8.1403996               10.5863665
    7.4907291               10.6237143
    8.1403996               10.1894730
    8.1030824                9.9565283
    8.0240971               10.2915476
    7.6525610               10.9115139
    7.6273644               10.4753313
    7.6793111                9.9207302
    7.6793111               10.2341343
    7.1135577               10.1675523
    7.2545222               10.7687760
    7.2545222                9.5911266
    7.1939784                9.5107462
    7.0193045                9.0548545
    7.2229326               10.1689039
    6.6663190               10.0667248
    7.2454994                9.5663359
    7.2545222                9.7186265
    6.8324380                9.3294618
    7.2545222                9.4144872
    7.1611635               10.6358947
    7.2545222                9.4188420
    7.2526314                9.5438149
    6.6118077                9.4600002
    6.6947841                9.5935463
    6.6947841                9.8406405
    6.6947841                9.3471309
    6.7652290                8.8623190
    6.7670708                8.9093214
    6.7670708                9.1822273
    6.6602730                9.4622524
    6.7670708                9.2365683
    6.6602730                9.0338491
    6.7486822               11.0127586
    6.7486822               10.3378216
    6.6039364                8.9439430
    6.7486822                9.3536206
    6.7486822                9.6630410
    6.3265980                9.6978559
    6.7486822                9.5129259
    6.7486822                9.3040182
    6.7486822                8.9056423
    6.7486822                9.2674189
    6.6881384                9.4667651
    6.7486822                9.9196041
    6.6881384                8.8187706
    6.6553235                9.3823414
    6.4803500                9.0716480
    6.7486822                8.7603853
    6.5999719                8.6908617
    6.7468404                9.0960633
    6.7468404                9.1845001
    6.6302449                9.1975318
    6.7468404                9.6584865
    6.7468404                9.1776464
    6.7468404                9.1996772
    6.5981300                9.4226398
    6.1106786                8.5341065
    6.5488524                9.5739595
    6.5037514                8.3655845
    6.5488524                9.1608149
    6.5488524                9.0774069
    5.8372083                8.5652724
    5.8372083                8.8942910
    5.8372083                8.8613850
    5.8372083                8.3357875
    5.8372083                7.9476512
    5.8372083                8.1001041
    5.7908811                8.3177181
    5.8372083                7.7040068
    5.5391789                7.5523206
    5.8372083                7.7581104
    5.8372083                7.4602733
    5.8372083                8.3357951
    5.8372083                7.5165193
    5.8372083                7.8523810
    5.8372083                7.7024008
    5.8372083                7.8216758
    5.8372083                8.3336409
    5.8372083                7.5154363
    5.8372083                7.8424488
    5.8372083                7.9395313
    5.8372083                8.1348929
    5.8372083                8.3352055
    5.5391789                7.6212195
    5.8372083                8.0593134
    5.8372083                7.8470847
    5.8372083                7.7121775
    5.8372083                7.6760401
    5.8372083                8.4267874
    5.8372083                7.8321176
    5.8372083                7.9658845
    5.8372083                7.5939873
    5.8372083                8.2168099
    5.0687800                8.4404529
    5.8372083                7.6894680
    5.8372083                8.2519073
    5.8372083                8.2473379
    5.8372083                8.1015121
    5.8372083                7.9558424
    5.8372083                7.9279360
    5.8372083                8.1236944
    5.8372083                7.6178649
    5.8372083                8.3103236
    5.8372083                8.2115993
    5.8372083                8.4247435
    5.8372083                8.5748913
    5.8372083                8.0558870
    5.5391789                7.6207874
    5.8372083                8.0880803
    5.8372083                7.5709459
    5.8372083                7.3577473
    5.8372083                7.4976000
    5.8372083                8.1857209
    5.7467882                7.9005304
    5.8372083                8.2919028
    5.8372083                7.5589685
    5.8372083                8.1810414
    5.8372083                7.9751865
