#NUM_CITY:  X_COORD:  Y_COORD:
         0    13.575    37.312
         1     8.745    44.835
         2    13.219    43.480
         3     7.320    45.737
         4    11.764    43.517
         5    13.540    42.883
         6     8.203    44.826
         7    15.141    40.997
         8    16.862    41.126
         9    16.147    41.180
        10    12.079    46.281
        11    14.706    41.248
        12     9.754    45.757
        13     8.087    45.567
        14    11.343    44.494
        15    11.230    46.656
        16    10.426    45.780
        17    17.688    40.636
        18     9.113    39.217
        19    14.063    37.490
        20    14.826    41.717
        21     8.540    39.307
        22    14.117    41.204
        23    15.087    37.502
        24    16.432    38.830
        25    14.416    42.103
        26     9.149    45.939
        27    16.333    39.597
        28    10.037    45.221
        29    16.878    39.187
        30     7.558    44.458
        31    14.281    37.567
        32    13.639    43.092
        33    11.828    44.767
        34    11.256    43.770
        35    15.453    41.503
        36    12.014    44.023
        37    13.576    41.629
        38     8.934    44.407
        39    13.625    45.944
        40    11.288    42.775
        41     7.867    43.958
        42    14.208    41.650
        43     9.691    44.238
        44    13.610    42.137
        45    13.013    41.460
        46    18.226    40.152
        47     9.412    45.901
        48    10.340    42.790
        49     9.492    45.261
        50    10.454    44.018
        51    13.151    43.153
        52    10.671    45.169
        53    10.053    44.213
        54    16.474    40.448
        55    15.554    38.194
        56     9.190    45.464
        57    10.936    44.538
        58     9.279    45.640
        59    14.249    40.836
        60     8.546    45.584
        61     9.342    40.128
        62     9.507    40.925
        63     8.680    40.027
        64    11.873    45.408
        65    13.352    38.111
        66    10.328    44.801
        67     9.138    45.037
        68    12.403    43.107
        69    12.701    43.694
        70    13.958    42.310
        71     9.667    44.848
        72    10.402    43.716
        73    10.869    43.974
        74    12.660    45.956
        75    15.822    40.517
        76    11.094    43.936
        77    14.721    36.922
        78    12.059    44.364
        79    15.640    38.104
        80    10.594    44.609
        81    12.886    42.415
        82    12.631    43.947
        83    12.483    41.893
        84    12.274    44.977
        85    15.311    40.419
        86     8.765    39.494
        87     8.922    40.778
        88     8.253    44.233
        89    11.468    43.167
        90    15.291    37.065
        91    10.258    46.323
        92    17.081    40.549
        93    13.698    42.658
        94    12.440    42.654
        95     7.682    45.068
        96     9.668    39.971
        97    12.516    38.017
        98    11.126    46.066
        99    12.206    45.807
       100    13.777    45.650
       101    13.236    46.063
       102     8.754    45.840
       103    12.335    45.437
       104     8.384    46.116
       105     8.346    45.555
       106    10.992    45.438
       107    16.099    38.627
       108    11.406    45.635
       109    11.949    42.493
