COST_FUNCTION:      MEAN_COST_FUNCTION:
20122.4808726            25848.7168654
20694.2142463            25700.2538774
18823.1797555            25666.5981910
19192.0387039            25821.9098754
20384.2582043            25931.1266850
20122.4808726            25843.0441418
18811.6864694            25828.2473017
20694.2142463            25778.9527288
18811.6864694            25765.5247006
18823.1797555            25610.2304789
19192.0387039            25589.3162361
 4969.7823242             5497.6490234
 5023.1476505             5499.6727324
 5036.0150109             5485.2300872
 5203.8852285             5646.5436701
 4969.7823242             5408.1675728
 5023.1476505             5571.3053821
 5088.0778585             5742.5301752
 5189.2588022             5771.7910648
 5055.7381138             5532.3003412
 5055.7381138             5529.7108855
 5036.0150109             5671.9783250
 4823.7899279             5283.3236974
 4823.7899279             5387.9035385
 4835.5839489             5275.9438761
 4795.9657824             5445.7203828
 4795.9657824             5300.3409647
 4855.7190844             5427.1751361
 4899.0724645             5392.1988859
 4931.7036430             5379.1091794
 4855.7190844             5292.4958275
 4860.0847907             5370.7905239
 4890.0425188             5376.8197763
 4776.9579305             5295.7921488
 4815.3395447             5311.2939194
 4781.5931611             5305.1357027
 4777.1089377             5416.0704882
 4781.5931611             5220.3876483
 4824.9172783             5296.6222743
 4826.0632670             5388.7555886
 4777.1089377             5374.0633550
 4812.9092591             5290.8257196
 4776.9579305             5335.0595825
 4837.9726317             5332.3277564
 4705.2658358             5220.6310078
 4769.0978354             5209.6079919
 4741.8415698             5185.4141994
 4769.3436187             5222.4399000
 4771.4145380             5220.2647302
 4705.2658358             5208.4026328
 4777.1089377             5322.9414556
 4771.4145380             5216.3604654
 4741.8415698             5305.0921069
 4774.4727905             5237.5523119
 4758.4242064             5166.8003978
 4705.2658358             5175.5782801
 4745.5712266             5256.9188537
 4705.2658358             5163.4277828
 4712.7713566             5235.6037619
 4766.9303146             5207.8992423
 4705.2658358             5051.6462370
 4705.2658358             5198.8832758
 4758.4242064             5297.4191082
 4712.7713566             5242.1325577
 4745.5712266             5258.7727302
 4741.8415698             5182.6721903
 4662.2329671             5223.1147476
 4716.8679939             5179.5023367
 4705.2658358             5124.7757272
 4705.2658358             5284.8118070
 4705.2658358             5186.9470984
 4705.2658358             5149.0545385
 4705.2658358             5199.1473829
 4741.8415698             5286.2653067
 4741.8415698             5299.1549729
 4741.6271971             5212.2215389
 4662.2329671             5249.4729642
 4662.5803560             5316.4781452
 4712.5998589             5162.8129323
 4705.2658358             5153.1618245
 4705.2658358             5201.4912793
 4705.2658358             5126.2914548
 4662.5803560             5207.3804606
 4705.2658358             5149.1795408
 4705.2658358             5177.2896698
 4681.0252011             5207.7681617
 4705.2658358             5182.1051466
 4681.0252011             5238.0525725
 4662.5803560             5145.6095021
 4662.5803560             5285.2814611
 4678.2527726             5214.7587746
 4705.2658358             5164.2761941
 4705.2658358             5212.8447776
 4659.4605386             5182.3222534
 4705.2658358             5108.8427073
 4705.2658358             5190.0326660
 4662.5803560             5251.0772318
 4659.4605386             5169.4306239
 4665.3527845             5235.1339148
 4662.5803560             5229.4885061
 4662.5803560             5186.4569986
 4659.4605386             5171.2159757
 4659.4605386             5188.3798386
 4664.2275737             5098.2603234
 4662.5803560             5240.6365814
 4662.5803560             5164.3377368
 4664.2275737             5186.5879299
 4662.5803560             5187.3047169
 4662.5803560             5208.8467583
 4665.3527845             5106.1072410
 4662.5803560             5155.5682849
 4662.5803560             5149.0776683
 4659.4605386             5053.2719971
 4659.4605386             5124.5803145
 4664.2275737             5078.1415967
 4662.5803560             5131.2372486
 4659.4605386             5096.0441304
 4659.4605386             5030.5264637
 4659.4605386             5040.3708390
 4662.5803560             5093.7469509
 4659.4605386             5141.8071029
 4659.4605386             5131.9003442
 4659.4605386             5121.0054678
 4659.4605386             5136.9732597
 4659.4605386             5062.1730837
 4659.4605386             5193.5803052
 4662.5803560             5094.5540151
 4659.4605386             5190.6913747
 4659.4605386             5072.1304849
 4659.4605386             5060.2575928
 4662.5803560             5072.6581538
 4659.4605386             5139.3935635
 4659.4605386             5043.5097746
 4659.4605386             5068.2073706
 4659.4605386             5077.8673738
 4659.4605386             5130.5975782
 4659.4605386             5101.4206087
 4659.4605386             5155.8466452
 4659.4605386             5122.9720281
 4659.4605386             5116.5319175
 4659.4605386             5167.7894242
 4659.4605386             5155.0401519
 4659.4605386             5038.8152460
 4659.4605386             5102.4604655
 4659.4605386             5138.1352414
 4659.4605386             5140.7043277
 4659.4605386             5087.4764349
 4659.4605386             5079.5192134
 4659.4605386             5092.9008702
 4659.4605386             5121.1194830
 4659.4605386             5105.8443110
 4659.4605386             5223.4617731
 4659.4605386             5085.1759299
 4659.4605386             5102.0858968
 4659.4605386             5070.5742730
 4659.4605386             5083.8567093
 4659.4605386             5012.2869954
 4659.4605386             5121.3446829
 4659.4605386             5101.4267232
 4659.4605386             5147.8967423
 4659.4605386             5227.3694873
 4659.4605386             5070.5889150
 4659.4605386             5075.7122761
 4659.4605386             5075.0621778
 4659.4605386             5055.1040561
 4659.4605386             5117.5537885
 4659.4605386             5082.9644538
 4659.4605386             5045.5032556
 4659.4605386             5098.5202523
 4659.4605386             5064.5560520
 4659.4605386             5122.3553689
 4659.4605386             5124.2011229
 4659.4605386             5108.2160073
 4659.4605386             5164.4650594
 4659.4605386             5019.0706584
 4659.4605386             5022.0791573
 4659.4605386             5133.1633172
 4659.4605386             5094.3434596
 4659.4605386             5105.4676120
 4659.4605386             5120.6253279
 4659.4605386             5123.2073944
 4659.4605386             5024.5241585
 4659.4605386             5114.2938881
 4659.4605386             5055.5108830
 4659.4605386             5100.1288031
 4659.4605386             5025.2956586
 4659.4605386             5145.1443461
 4659.4605386             5088.0974611
 4659.4605386             5228.0344251
 4659.4605386             5164.2392425
 4659.4605386             5101.4350460
 4659.4605386             5133.2542435
 4659.4605386             4960.9512734
 4659.4605386             5130.5036394
 4659.4605386             5095.3561053
 4659.4605386             5087.6478525
 4659.4605386             5183.7449546
 4659.4605386             5036.5743855
 4659.4605386             5119.8696900
 4659.4605386             5118.1735097
 4659.4605386             5122.4630446
 4659.4605386             5145.6086722
 4659.4605386             5127.6842039
 4659.4605386             5128.7724148
 4659.4605386             5140.4379356
 4659.4605386             5145.8043069
 4659.4605386             5110.4920952
 4659.4605386             5181.5071967
 4659.4605386             5095.9704990
 4659.4605386             5098.6640148
 4659.4605386             5080.1859715
 4659.4605386             5106.4034165
 4659.4605386             5036.0288328
 4659.4605386             5093.2068018
 4659.4605386             5101.4422226
 4659.4605386             5067.8391486
 4659.4605386             5077.4890938
 4659.4605386             5166.5003382
 4659.4605386             5084.6368235
 4659.4605386             5086.1256181
 4659.4605386             5080.1910121
 4659.4605386             5017.4688696
 4659.4605386             5088.5776986
 4659.4605386             5027.5745967
 4659.4605386             5051.3471542
 4659.4605386             5214.7354467
 4659.4605386             5127.3903100
 4659.4605386             5060.4683111
 4659.4605386             5161.5068754
 4659.4605386             5116.7481818
 4659.4605386             5126.8448816
 4659.4605386             5083.3361574
 4659.4605386             5179.8923586
 4659.4605386             5020.0328485
 4659.4605386             5048.2669678
 4659.4605386             5213.5519184
 4659.4605386             5085.9020073
 4659.4605386             5114.1972942
 4659.4605386             5150.7699142
 4659.4605386             5017.5042768
 4659.4605386             5096.1023003
 4659.4605386             5117.2348049
 4659.4605386             5045.8391512
 4659.4605386             5110.7784126
 4659.4605386             5193.3451038
 4659.4605386             5176.8429574
 4659.4605386             5089.7217808
 4659.4605386             5025.1250567
 4659.4605386             5107.3107416
 4659.4605386             5145.2370667
 4659.4605386             5182.6292076
