COST_FUNCTION:      MEAN_COST_FUNCTION:
 2101.6030642             2431.9602755
 1981.7817613             2432.8479437
 2017.7081679             2426.3304570
 1981.7817613             2434.2569869
 2064.8619544             2427.1715541
 2095.7436510             2428.6643353
 2114.2918767             2431.6827915
 2083.9948555             2429.8915341
 2005.3068598             2433.8252793
 2005.3068598             2426.8865533
 2064.8619544             2423.9982382
  459.3413152              661.1870066
  403.7172353              628.1214974
  391.6845967              671.8784073
  424.0415269              638.9153275
  471.3656942              682.4567628
  403.7172353              646.1418214
  415.9391540              630.5854839
  424.0415269              653.5094283
  391.6845967              628.5081211
  415.9391540              617.7737166
  416.1878856              626.9181995
  286.2509191              538.8511085
  305.1959777              518.1077307
  278.2441671              499.4807223
  297.1874399              543.4480130
  289.9849483              530.2647755
  289.9849483              529.1745248
  290.8259556              510.0022737
  278.2441671              500.6457621
  277.1441664              518.7643757
  277.1441664              510.8361737
  286.2509191              517.7235911
  245.3163368              467.7101080
  234.1445710              474.4141536
  234.1445710              475.0011403
  254.8329092              483.6674050
  229.5705352              459.2543359
  229.5705352              447.9603805
  224.6460896              450.7210134
  245.3163368              466.8335893
  232.6478975              465.3431758
  224.6460896              456.2087996
  247.1271465              466.2610936
  216.0272813              438.4131795
  213.6392843              431.5345089
  213.6392843              435.1976350
  200.1657689              440.3380885
  210.7583470              437.9954780
  200.1657689              430.6692926
  203.0856643              426.7170388
  198.8378997              434.0382204
  210.7583470              427.4857796
  198.8378997              425.8897004
  203.0856643              435.2594514
  175.1912070              406.6787613
  175.4744210              411.5895059
  189.7768039              415.7629545
  185.1228053              407.3047407
  193.4780580              421.9759429
  189.7768039              422.7516221
  188.6775653              405.1440371
  175.4744210              402.8936760
  190.2404593              414.5701496
  175.1912070              397.9339704
  188.6775653              403.2711564
  169.2546609              395.2297151
  169.2546609              391.4885376
  174.2426623              401.1174135
  175.0683580              406.9195574
  165.0942324              404.2964695
  173.4772273              407.4952643
  178.4229795              401.5394300
  173.9663529              401.1347599
  175.0683580              402.9002632
  165.0942324              392.2124183
  173.9663529              398.1786486
  157.7176560              375.4410485
  163.7072287              386.5152197
  160.6300141              385.0590350
  171.1635822              391.8691675
  155.2754105              386.7549855
  163.7072287              382.1493291
  167.0998203              388.4748250
  155.2754105              385.9582296
  162.5472428              392.0926014
  160.7702363              385.1113891
  157.7176560              381.1088766
  147.8819843              378.8102410
  157.3158373              383.2507613
  154.7732491              375.6871931
  157.7460022              377.6366587
  151.7877355              379.3945262
  157.3158373              380.7970905
  147.8819843              369.3954568
  151.7877355              385.4496113
  156.3660709              387.2241456
  154.7732491              379.4930098
  155.6506813              387.6884685
  140.7412254              376.1863105
  144.4637833              371.7644664
  140.7412254              369.2006001
  154.2832450              379.2238136
  143.8181949              379.4728802
  148.8295877              376.6453618
  143.8181949              367.5101123
  146.5720490              382.1782115
  144.4637833              372.1776971
  147.9061803              384.7356992
  148.8295877              372.8282620
  134.4397924              368.3008528
  136.9955230              363.5721483
  139.1708057              371.6631210
  143.6597018              364.3905163
  134.4397924              370.5613192
  145.8879414              364.0652156
  141.6970040              363.7800630
  136.9955230              364.2784478
  141.9618288              372.9265436
  139.1708057              365.7295776
  141.6970040              364.0957437
  131.2056283              357.7134661
  133.1873804              365.7004730
  133.7906024              354.6133091
  136.1414037              359.1465506
  131.2056283              352.2094151
  135.1417046              368.6047322
  133.1873804              364.8070445
  133.6788349              368.3496179
  136.1414037              356.3283007
  135.1417046              356.2642062
  133.6788349              366.0706295
  129.5647443              353.7420451
  131.5497741              365.1279767
  129.5647443              353.1102735
  131.5497741              367.6333111
  124.3445381              351.7106565
  131.0936211              353.1225004
  129.8787528              358.5791647
  130.5589941              356.9362001
  134.0238449              358.3444525
  131.0936211              361.7663498
  124.3445381              354.8364302
  127.3173411              363.6070466
  128.7211240              357.7912652
  123.1482687              349.0858291
  129.5869286              367.2432139
  121.2067329              339.4620726
  128.6812006              354.7424741
  128.7211240              358.2505232
  126.8526492              344.6398887
  128.6812006              363.2123017
  121.2067329              348.4867954
  123.1482687              351.5633668
  126.5382080              365.1100732
  125.7745785              358.6015325
  122.1488323              358.5203055
  122.1488323              359.8417527
  121.0004309              350.7493161
  122.5616577              347.1454427
  126.3278685              354.8445742
  126.3278685              350.0546705
  121.7902757              345.6328328
  120.6580724              351.1890650
  120.6580724              342.5823401
  121.0362218              341.9763524
  121.6681030              348.5529890
  119.7531452              350.1658634
  119.3212780              342.4953387
  119.3212780              346.4946954
  119.6298016              340.4889458
  124.9871438              343.6162459
  117.7617168              348.4996589
  121.0362218              346.0518816
  119.7531452              347.5187764
  117.7617168              343.5171280
